Date,Year,Month,CD_UF,Pop0_19_UF,state_index,pred.mean,pred.uci,pred.lci
2001-01-01,2001,1,11,580275,11,29.1241221834475,32.03653440179225,26.211709965102752
2001-02-01,2001,2,11,580275,11,11.71858170694929,12.890439877644223,10.546723536254362
2001-03-01,2001,3,11,580275,11,6.37628710525182,7.013915815777003,5.738658394726639
2001-04-01,2001,4,11,580275,11,3.791305846365947,4.170436431002543,3.412175261729353
2001-05-01,2001,5,11,580275,11,4.652966265994571,5.1182628925940294,4.187669639395114
2001-06-01,2001,6,11,580275,11,3.101977510663048,3.412175261729353,2.791779759596743
2001-07-01,2001,7,11,580275,11,0.8616604196286244,0.9478264615914868,0.775494377665762
2001-08-01,2001,8,11,580275,11,1.0339925035543491,1.1373917539097842,0.9305932531989144
2001-09-01,2001,9,11,580275,11,0.34466416785144977,0.3791305846365947,0.31019775106630476
2001-10-01,2001,10,11,580275,11,1.206324587480074,1.3269570462280817,1.0856921287320667
2001-11-01,2001,11,11,580275,11,4.652966265994571,5.1182628925940294,4.187669639395114
2001-12-01,2001,12,11,580275,11,3.9636379302916724,4.360001723320839,3.5672741372625048
2002-01-01,2002,1,11,580275,11,9.822928783766319,10.80522166214295,8.840635905389686
2002-02-01,2002,2,11,580275,11,11.71858170694929,12.890439877644223,10.546723536254362
2002-03-01,2002,3,11,580275,11,11.890913790875016,13.080005169962519,10.701822411787514
2002-04-01,2002,4,11,580275,11,4.4806341820688464,4.928697600275731,4.032570763861962
2002-05-01,2002,5,11,580275,11,3.9636379302916724,4.360001723320839,3.5672741372625048
2002-06-01,2002,6,11,580275,11,0.8616604196286244,0.9478264615914868,0.775494377665762
2002-07-01,2002,7,11,580275,11,2.2403170910344232,2.4643488001378655,2.016285381930981
2002-08-01,2002,8,11,580275,11,0.5169962517771746,0.5686958769548921,0.4652966265994572
2002-09-01,2002,9,11,580275,11,2.412649174960148,2.6539140924561635,2.1713842574641333
2002-10-01,2002,10,11,580275,11,3.791305846365947,4.170436431002543,3.412175261729353
2002-11-01,2002,11,11,580275,11,18.094868812201113,19.904355693421223,16.285381930981
2002-12-01,2002,12,11,580275,11,10.684589203394943,11.753048123734436,9.61613028305545
2003-01-01,2003,1,11,580275,11,32.91542802981345,36.2069708327948,29.62388522683211
2003-02-01,2003,2,11,580275,11,25.332816337081557,27.866097970789713,22.7995347033734
2003-03-01,2003,3,11,580275,11,21.19684632286416,23.316530955150576,19.077161690577743
