,Date,Year,Month,CD_UF,area_km2,NDVI_d,dewpoint_temperature_2m_d,humidity_d,max_temperature_2m_d,min_temperature_2m_d,surface_pressure_d,temperature_2m_d,total_precipitation_d,u_component_of_wind_10m_d,v_component_of_wind_10m_d,max_elevation_d,mean_elevation_d,min_elevation_d,stdDev_elevation_d,variance_elevation_d,PopTotal_Urban_UF,PopTotal_Rural_UF,cases0_19,cases20_99,Forest_Cover_Percent,Urban_Cover_Percent,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,t_sem_agua_esgoto,t_sem_lixo,t_vulner_mais1h,t_analf_15m,t_cdom_fundin,t_p15a24_nada,t_vulner,t_desocup18m,t_p18m_fundin_informal,idhm,idhm_long,idhm_educ,idhm_renda,idhm_educ_sub_esc,t_pop18m_fundc,idhm_educ_sub_freq,renda_per_capita,pea10a14,pea15a17,pea18m,t_eletrica,t_densidadem2,rdpc_def_vulner,t_analf_18m,t_formal_18m,t_fundc_ocup18m,t_medioc_ocup18m,CNN_all,CNN_0-19,rate_total,rate_019
0,2001-01-01,2001,1,11,237765.347,0.154300891429337,295.6749802023473,88.46030803477046,303.9872160853003,294.1550146396128,98872.99071378318,297.7102078767852,2.8575862268379506,0.0433586668710461,-0.7773815069167666,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,169,499,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,1.0,1.0,42.75449002149885,29.1241221834475
1,2001-02-01,2001,2,11,237765.347,0.2168733269539322,295.9440604461216,88.85694838408347,304.7387547402606,294.33256563392314,98783.09290201204,297.9079070373954,2.7957035915818857,-0.0114197885131428,-0.7061086860729511,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,68,207,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,1.0,1.0,17.601025083700875,11.71858170694929
2,2001-03-01,2001,3,11,237765.347,0.2391121639578773,296.09274708312097,89.30546272429493,304.62082863740096,294.3041261547336,98834.6192785646,297.97479235368195,2.565604407754635,-0.1021570354984334,-0.5102194882176248,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,37,136,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,1.0,1.0,11.072644870837278,6.37628710525182
3,2001-04-01,2001,4,11,237765.347,0.3346595197323809,296.1861428572702,88.59037475591016,304.1686691467845,293.9218148362291,98885.2330907448,298.2049338030167,1.3548149420034177,-0.2635160976701806,-0.2731430693254126,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,22,58,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,1.0,1.0,5.120298206167527,3.791305846365947
4,2001-05-01,2001,5,11,237765.347,0.3789308091926468,295.5629718801204,86.93960575546528,303.9030431510121,293.395958881761,98944.3131704512,297.8914603485153,0.8166760293585249,-0.1925645104413671,0.0960494595966467,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,27,82,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,32.15985870361328,17.186546325683594,6.9764063059032555,4.652966265994571
5,2001-06-01,2001,6,11,237765.347,0.5977707651001418,292.65563187093665,80.01153379443275,304.5129172207635,286.5801372745954,99176.35097890632,296.3146866019828,0.3134196801903992,-0.2635171140122069,0.3676802950939569,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,18,33,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,15.016560554504396,9.883176803588867,3.264190106431798,3.101977510663048
6,2001-07-01,2001,7,11,237765.347,0.5519798951518932,293.81335336516656,77.83917853638303,305.1437436404936,289.1321143324377,99057.59949347182,297.99811859803464,0.3643204500288313,0.0858414342221255,-0.1653524764703695,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,5,21,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,0.1340260803699493,0.3151021599769592,1.6640969170044464,0.8616604196286244
7,2001-08-01,2001,8,11,237765.347,0.6746607223197919,291.17042860461885,57.59322169646548,309.0121696248862,292.55849966526023,99032.89203968932,300.3426124131261,0.1084765131128769,-0.3609741694066344,-0.0443540888515219,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,6,14,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,0.0,0.0,1.2800745515418817,1.0339925035543491
8,2001-09-01,2001,9,11,237765.347,0.4786973817728025,295.36641666366563,80.21277154596815,306.4713188910615,290.8142897077085,98859.73491355062,299.05289946852224,0.9993657051500092,-0.0590627681758968,-0.3842698891854333,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,2,9,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,0.0,0.0,0.704041003348035,0.34466416785144977
9,2001-10-01,2001,10,11,237765.347,0.4162058789600639,296.06297105981025,80.5237755530715,307.95590933453354,295.1586695064431,98745.98511281982,299.6949801915722,1.4129784935624137,-0.1029226635784372,-0.4535884267317115,499.5749256436695,197.7305119879381,94.78054529895822,49.347550913745934,2936.506225905438,1149180,413229,7,25,98.39463486298328,0.2197641996098389,0.319,0.231,0.4,0.325,12.43,5.36,4.73,8.73,34.25,10.29,33.33,5.19,41.1,0.69,0.8,0.577,0.712,0.48,48.0,0.633,670.82,18698,34904,723839,97.26,27.15,144.93,9.42,51.72,53.83,36.93,12.960514068603516,9.23936939239502,2.048119282467011,1.206324587480074
