iter	Passed	Remaining
0	87	2363415
1	167	2257637
2	236	2132490
3	301	2032830
4	361	1949085
5	419	1887084
6	479	1850375
7	536	1809282
8	594	1781573
9	650	1754941
10	708	1737244
11	767	1727072
12	833	1730184
13	894	1724788
14	954	1716472
15	1011	1705813
16	1066	1692264
17	1124	1685560
18	1183	1680145
19	1243	1677330
20	1307	1679743
21	1364	1673555
22	1419	1664915
23	1470	1653346
24	1523	1643623
25	1578	1637891
26	1633	1632229
27	1685	1623384
28	1739	1618048
29	1793	1612002
30	1844	1604513
31	1896	1598441
32	1948	1591888
33	2002	1588563
34	2055	1583628
35	2109	1579883
36	2161	1575388
37	2219	1575129
38	2272	1571326
39	2327	1568747
40	2380	1565181
41	2435	1563506
42	2488	1559877
43	2543	1557988
44	2596	1555302
45	2649	1552403
46	2702	1550054
47	2755	1547465
48	2807	1544237
49	2861	1542135
50	2916	1540995
51	2969	1539052
52	3024	1537764
53	3077	1535698
54	3129	1532974
55	3180	1530272
56	3234	1528939
57	3289	1528132
58	3341	1525612
59	3392	1523129
60	3446	1522217
61	3500	1521022
62	3553	1519329
63	3607	1518198
64	3660	1516898
65	3717	1517253
66	3772	1516444
67	3826	1515410
68	3881	1515004
69	3936	1514493
70	3996	1515821
71	4054	1516393
72	4111	1516633
73	4172	1518311
74	4232	1519457
75	4320	1530734
76	4391	1535375
77	4453	1536989
78	4512	1537864
79	4574	1539378
80	4631	1539214
81	4689	1539258
82	4745	1538889
83	4804	1539624
84	4863	1539932
85	4923	1540769
86	4983	1541483
87	5042	1542168
88	5098	1541667
89	5156	1541768
90	5210	1540741
91	5264	1539782
92	5325	1540789
93	5382	1540604
94	5435	1539411
95	5489	1538354
96	5554	1540581
97	5615	1541533
98	5675	1542139
99	5734	1542614
100	5797	1543915
101	5855	1544162
102	5911	1543625
103	5969	1543797
104	6033	1545458
105	6089	1545108
106	6144	1544287
107	6206	1545449
108	6267	1546312
109	6326	1546553
110	6385	1546815
111	6440	1546254
112	6497	1546051
113	6556	1546322
114	6642	1552846
115	6709	1554910
116	6771	1555997
117	6827	1555401
118	6887	1555754
119	6942	1555096
120	7003	1555832
121	7062	1555849
122	7120	1555966
123	7180	1556286
124	7240	1556772
125	7297	1556559
126	7357	1556750
127	7417	1557229
128	7474	1557013
129	7534	1557344
130	7597	1558366
131	7658	1558814
132	7718	1559215
133	7782	1560352
134	7842	1560633
135	7901	1560725
136	7960	1560853
137	8017	1560639
138	8077	1560918
139	8139	1561610
140	8199	1561929
141	8259	1562224
142	8317	1562066
143	8402	1567050
144	8467	1568180
145	8533	1569493
146	8593	1569827
147	8653	1570063
148	8714	1570343
149	8773	1570390
150	8830	1570146
151	8887	1569751
152	8946	1569916
153	9002	1569328
154	9058	1568954
155	9115	1568582
156	9173	1568495
157	9226	1567413
158	9278	1566383
159	9333	1565709
160	9387	1564893
161	9442	1564232
162	9500	1564151
163	9556	1563827
164	9614	1563620
165	9670	1563193
166	9724	1562507
167	9778	1561693
168	9832	1561007
169	9885	1560211
170	9938	1559262
171	9990	1558261
172	10047	1558000
173	10101	1557422
174	10156	1556917
175	10210	1556178
176	10264	1555456
177	10317	1554651
178	10376	1554792
179	10433	1554526
180	10489	1554172
181	10546	1554116
182	10600	1553459
183	10654	1552775
184	10712	1552796
185	10767	1552208
186	10825	1552177
187	10881	1551904
188	10939	1551885
189	10998	1551882
190	11049	1550955
191	11102	1550251
