iter	Passed	Remaining
0	346	9353346
1	456	6168962
2	543	4888076
3	629	4246169
4	718	3881360
5	802	3610160
6	889	3428313
7	973	3283515
8	1056	3168154
9	1144	3087684
10	1226	3010472
11	1309	2946092
12	1394	2894213
13	1477	2848568
14	1566	2818307
15	1659	2798902
16	1748	2775347
17	1834	2750274
18	1918	2725021
19	2001	2700093
20	2083	2676184
21	2166	2656850
22	2258	2649086
23	2340	2630401
24	2426	2618626
25	2509	2603390
26	2590	2587541
27	2672	2574404
28	2754	2561479
29	2834	2548606
30	2916	2537309
31	3001	2529270
32	3085	2521578
33	3170	2514769
34	3252	2505543
35	3332	2496127
36	3415	2488947
37	3495	2480340
38	3575	2471608
39	3659	2466254
40	3739	2458679
41	3819	2451392
42	3899	2444753
43	3981	2439179
44	4061	2432573
45	4143	2427991
46	4223	2421854
47	4309	2419721
48	4392	2416198
49	4475	2412101
50	4556	2407740
51	4639	2404432
52	4719	2399779
53	4801	2395750
54	4884	2393029
55	4968	2390758
56	5049	2387043
57	5135	2385512
58	5221	2384378
59	5304	2381565
60	5386	2378604
61	5472	2377813
62	5560	2377581
63	5657	2381004
64	5740	2378652
65	5821	2375875
66	5906	2374443
67	5988	2371832
68	6073	2370338
69	6157	2368946
70	6240	2366997
71	6324	2365315
72	6404	2362449
73	6489	2361141
74	6569	2358449
75	6656	2358137
76	6738	2355975
77	6834	2359107
78	6929	2361413
79	7023	2363352
80	7116	2364885
81	7208	2366386
82	7304	2368728
83	7491	2400386
84	7596	2405503
85	7696	2408690
86	7789	2409659
87	7872	2407701
88	7960	2406992
89	8043	2404980
90	8124	2402470
91	8209	2401074
92	8296	2400373
93	8385	2400182
94	8474	2399936
95	8563	2399783
96	8665	2403516
97	8756	2403859
98	8843	2403064
99	8931	2402582
100	9019	2402237
101	9112	2402967
102	9201	2402777
103	9288	2402075
104	9375	2401548
105	9463	2400953
106	9548	2399870
107	9630	2397991
108	9710	2395540
109	9794	2394376
110	9873	2391785
111	9956	2390294
112	10042	2389496
113	10125	2387945
114	10204	2385719
115	10289	2384679
116	10372	2383175
117	10457	2382275
118	10542	2381347
119	10622	2379386
120	10704	2377867
121	10796	2378565
122	10886	2378810
123	10974	2378704
124	11062	2378345
125	11146	2377462
126	11231	2376602
127	11320	2376573
128	11409	2376722
129	11500	2377033
130	11589	2377091
131	11675	2376557
132	11765	2376746
133	11856	2377151
134	11941	2376346
135	12030	2376316
136	12121	2376726
137	12206	2376036
138	12290	2374984
139	12380	2375214
140	12472	2375880
141	12558	2375299
142	12643	2374513
143	12724	2373180
144	12812	2372940
145	12902	2373128
146	12990	2372933
147	13076	2372494
148	13159	2371473
149	13251	2371944
150	13339	2371930
151	13426	2371591
152	13512	2371057
153	13596	2370268
154	13687	2370666
155	13777	2370828
156	13860	2369736
157	13943	2368881
158	14026	2367759
159	14110	2366969
160	14198	2366913
161	14290	2367477
162	14375	2366801
163	14457	2365726
