Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rio Grande do Norte,1.1176877682273136,1.086909029966873,0.8648436495509609,0.8639551986893579,0.011841239438120035,0.012003720473012547
Paraíba,1.1461167940134258,1.105613648499539,1.620704054214663,1.4326501063729944,0.06091912043894787,0.06108187873075193
Pernambuco,1.1225171833918492,1.1679229342063713,1.1133920961009123,1.0866538728671085,0.006964340718031259,0.007149386809836807
Alagoas,1.2451639310359766,1.1994643325932055,1.0965709459265647,1.0879753380042954,0.008572437074247092,0.011842084492920011
Sergipe,1.0974118760639642,1.0768503552207989,1.8677710955420062,1.8303903280936829,0.008035012881705278,0.00772988837930245
Bahia,1.1970434133026437,1.1067932446509856,3.400043034256644,2.307229076179206,0.011829401639869798,0.013960808380961994
Minas Gerais,1.199706416071049,1.1791742300845405,0.9978012412078298,1.0059011569714207,0.027797231053970906,0.032289657021296964
Paraná,1.0752018688115816,1.1044699652568035,1.6202060065071857,1.5817345273870858,0.019746051758447954,0.020554703529590653
Santa Catarina,0.9934767668019017,0.9547099391066186,1.7558951407613737,1.8460727434681898,0.01720607141823634,0.018807510059142534
Rio Grande do Sul,1.0985992727200364,1.091833898475377,1.203787980972018,1.1688690337725054,0.0231651344183736,0.02439934281756304
Mato Grosso do Sul,1.201414631024893,1.1603200683210837,1.2303403301510694,1.1699933193574634,0.06513388612845449,0.07811564413134806
Mato Grosso,1.3880783734640219,1.3225642625218679,1.0676132794632267,1.0676979084447915,0.024772408197108197,0.03234569853711424
Goiás,1.1421120288242428,1.1193644202054265,2.7318768347354165,2.8199214239958437,0.04874668079780803,0.05845755196839688
Distrito Federal,1.2415929526566647,1.3116883893141578,1.7585054582296595,1.8236079438586728,0.03991943853257754,0.047724598133154696
