Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rio Grande do Norte,1.0075673944777173,1.0109257173168342,2.2260192642911636,2.404574081123283,0.016266392366518154,0.016347937644633513
Paraíba,1.0438105851030872,1.051536235136398,1.156538728767215,1.169768982608896,0.047150496935842175,0.04154888353364146
Pernambuco,0.9889669626029423,0.990039046259651,2.50980053859858,2.332253590378795,0.014050663785758193,0.01589859507916415
Alagoas,1.0360364454523272,1.048813781441941,1.021443745701318,1.1590219149533671,0.017864030400118146,0.018778888634016482
Sergipe,1.3512002158097827,1.3320577359055452,2.6396217624152163,2.859314606750554,0.014364414937808663,0.01520817474712105
Bahia,1.0058610110701054,1.031818363417449,2.7383604087201388,2.312699741860035,0.01401218239830445,0.014983457534056159
Minas Gerais,1.0684981284981605,1.074513646255904,1.0617323429889396,1.060639808676159,0.030820578673625483,0.03647671059252287
Paraná,1.3539447119952661,1.4928611919682422,2.199831904347825,2.776426833274601,0.014907576539606865,0.014646790185470607
Santa Catarina,1.0235673040358257,1.0426770455470196,1.1047937071653018,1.1544358921896853,0.014541035276701614,0.016779642484050256
Rio Grande do Sul,1.0494685798048358,1.0396331038976845,1.0076751459010982,1.0155546326812772,0.018651312662956405,0.01963051982094656
Mato Grosso do Sul,1.074047157560667,1.0698965694509062,1.2164633649555636,1.1647515416972913,0.03343923490697479,0.045940184659245334
Mato Grosso,1.0104775522329041,1.0101863908791757,1.0454421264977705,1.015628866626568,0.01686031129315774,0.025135191252698977
Goiás,1.0126648738260782,1.0084562605699363,1.016164872258242,1.0338689187176704,0.013443837708618143,0.017231220334847603
Distrito Federal,1.0354751533460453,1.0404860620574417,1.0070006037356525,1.0040839763535887,0.02087717944046437,0.026752170638197584
