Department,MAE (DengRate_all) Val,RMSE (DengRate_all) Val,MAPE (DengRate_all) Val,R2 (DengRate_all) Val,MSE (DengRate_all) Val,MAE (DengRate_019) Val,RMSE (DengRate_019) Val,MAPE (DengRate_019) Val,R2 (DengRate_019) Val,MSE (DengRate_019) Val,MAE (DengRate_all) Train,RMSE (DengRate_all) Train,MAPE (DengRate_all) Train,R2 (DengRate_all) Train,MSE (DengRate_all) Train,MAE (DengRate_019) Train,RMSE (DengRate_019) Train,MAPE (DengRate_019) Train,R2 (DengRate_019) Train,MSE (DengRate_019) Train
Rondônia,0.0030022097653581944,0.003998187277793826,1.2282356648663768,0.06244194868207742,1.5985501508312407e-05,0.006065952235950067,0.006985567197990851,3.9908635558274796,-4.362515531446327,4.879814907764575e-05,0.007811523443195451,0.01613005494051016,1.395597220544272,0.019859091247453775,0.00026017867238387624,0.00976938555419977,0.017082787919517742,2.1028334748263586,0.1090180192033533,0.0002918216431032213
Acre,0.008463280143501124,0.011450066084818456,1.1169339926437234,0.6598209465709552,0.00013110401334670983,0.009360967905172731,0.011192931288484602,1.922076220770382,0.49915219552341095,0.0001252817108287376,0.031260279834278266,0.042894079747337915,0.5170245532058872,0.9486278104994237,0.0018399020773709844,0.032636325545948704,0.04102589281871632,0.5684438042429699,0.9314399029203142,0.0016831238815727993
Amazonas,0.034333423924876164,0.04923616253607574,1.8051476200686765,0.8596723385822863,0.002424199701278868,0.026649855858462357,0.035706028265696445,1.7659680116261312,0.8739143351043535,0.0012749204545107133,0.004601163777622771,0.006435160915173795,0.6612955217974549,-0.6982400320276136,4.1411296004180436e-05,0.006224393247217067,0.00811428976448743,1.0106155939424384,-1.3050561645219303,6.584169838206548e-05
Roraima,0.001200527408819683,0.0016341670568914936,0.4939330449865158,0.4314790345908992,2.6705019698294065e-06,0.005345659585942908,0.005570667448256361,2.230153286802679,-7.203465711839819,3.103233581906304e-05,0.005256471684402644,0.00684810565517188,0.7662102643016514,-0.6635731816646016,4.6896551064397076e-05,0.003427752231458805,0.004417545808515991,0.7994420809092208,0.292526385233122,1.9514710970337202e-05
Pará,0.00929502647120048,0.013577489373762559,0.5959927385111948,0.5692121437240591,0.00018434821769463522,0.014604221121058211,0.016843125697702365,1.7464201980697431,-0.5411065510536353,0.0002836908832686018,0.013368618741077856,0.017030856431674943,0.6247186363979607,-0.2381709319234755,0.00029005007079632375,0.0103343746250207,0.015033722708873858,0.6594491860438376,0.16759922771823688,0.00022601281848730952
Amapá,0.007466584260929362,0.014360109447541815,1.5151756370428684,0.3116422249290095,0.00020621274334537969,0.009387621198638701,0.014300425401530571,5.352738727374299,0.4006803732915737,0.00020450216666474078,0.008876478301045813,0.013168794632841823,0.36443721724149397,0.38798509332832853,0.0001734171520819636,0.007592344139285576,0.010977952212355821,0.32108067615715497,0.5458670232223193,0.00012051543477676809
Tocantins,0.03040360758940928,0.051133647877985175,0.5788863794119605,-0.3789940062387953,0.002614649945309778,0.026314896773164956,0.042127524764902294,0.47812854501115826,0.26627345363504895,0.0017747283428174558,0.009306864668051232,0.018142185495084878,0.4585178145735995,-0.05085375919845703,0.0003291388945380681,0.00631698963858942,0.011307203832360288,0.6727570686450074,0.2361534860544201,0.0001278528585065432
Maranhão,0.011014260411511429,0.013990062923420895,4.166149631211186,-3.7242814984552437,0.00019572186060127597,0.014893139338235996,0.01768179373298196,5.539854949555791,-6.145999130855092,0.0003126458296157201,0.013042411704095452,0.01920443268321876,0.43163399240531736,0.772500170716347,0.0003688102346842809,0.0051631452512540515,0.007378838495799562,0.33229552180665495,0.9338906378650292,5.4447257547093545e-05
Piauí,0.016320203192371253,0.02478486271771154,0.40082752383437575,0.8418881763606367,0.0006142894199358075,0.013205985761480384,0.02131433756240862,0.3781967951250725,0.8660221931582905,0.00045430098572430306,0.01186404923939835,0.016166540976099996,0.4786969277426781,0.6716416524579742,0.00026135704713192026,0.009652654448294221,0.01553987847580295,0.3048323401433461,0.7232123922939363,0.00024148782304272376
Ceará,0.025008766209655118,0.03213054062196896,0.42366086839419914,0.7273693461746229,0.0010323716406599975,0.025581226594529983,0.03220010238591929,0.3988472454769511,0.7381653633639707,0.0010368465936636852,0.005445639444095897,0.010136552013802631,0.362182047219304,0.5240825602706164,0.00010274968672852616,0.004617988365655854,0.005091772743356645,1.276056595352143,0.7329862539233591,2.5926149669989654e-05
