Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.18118047802583284,0.20431371430304138,1.2263763245641575,1.1417114954796628,10.513486397403513,9.23902214122145
Acre,0.22794575218672497,0.21061754319019665,0.2780588394074923,0.23941041901468366,43.38762642918933,31.39366319570082
Amazonas,0.08275794740651984,0.09279024141530665,0.31591657517687516,0.2286123540370159,6.858072558514537,7.01070772310074
Roraima,0.2952240916620862,0.3318936476914911,0.17330790786134423,0.15366210982706965,11.499098070711264,11.483674261128725
Pará,0.09873215015039864,0.12551411209045982,0.5220712173936138,0.5079440008175246,4.4957850235920755,4.452078478465535
Amapá,0.0914512139979842,0.10101266641218955,0.6491678438067419,0.45577232116212313,8.13033970046891,8.037856171723435
Tocantins,0.455338841973867,0.22021811765515498,0.12191745261821699,0.10229519712562453,13.543717046068275,16.108145830299225
Maranhão,0.8154632963135964,0.6624084094949804,0.29603490413867484,0.3886001639571858,6.046646660203667,5.183963905798255
Piauí,0.1346484643776377,0.16143786465441684,0.08930073170161476,0.09176598478517999,5.924524162053184,5.79869459893274
Ceará,0.06003891114677012,0.06778588854141591,0.39240186567545243,0.3535951635450531,11.20501544329106,9.764561764583013
Rio Grande do Norte,0.3930681433556214,0.2547002959786099,0.23603581287417721,0.1471931966916932,20.113359036608696,28.332657625570533
Paraíba,0.09795075956287506,0.09899159484777978,0.08701473727611261,0.11845975787402564,8.205858713669473,8.075906767252427
Pernambuco,0.1544263048652991,0.17724506261739062,0.11181078256949464,0.13693133476316754,9.020910791588074,8.85004928366447
Alagoas,1.6815297649404142,1.4891892050838675,0.10040752315927982,0.06884307710565425,8.525894209477825,11.331748350796301
Sergipe,0.2401954778136913,0.18695095389895916,0.21668439528398242,0.18685124690107022,12.543437222598257,18.08233016157241
Bahia,0.17883762750147386,0.17244837718312425,0.1264498699049691,0.09891910897258833,7.914421904854632,9.443484307906663
Minas Gerais,0.0894429698326881,0.07684822733378407,0.05070461023453973,0.057854080688799304,23.48944303615548,18.467832278563574
Espírito Santo,0.23997036818763406,0.23413056475292934,0.05339304788091865,0.059549420961903785,17.63670214767828,11.78170596786947
Rio de Janeiro,0.2715661195276462,0.236150340599728,0.1695135443761697,0.16884544406230317,6.585613241097351,5.207748692894216
São Paulo,0.13692227989418523,0.14623778521602446,0.07827615595383404,0.10167963335685141,15.708952537599572,9.585770826301568
Paraná,0.32400092760939614,0.29340668544304793,0.09559482098582488,0.10751452527982872,9.09543438481897,6.601055543504455
Santa Catarina,0.1515106000346453,0.20290278288657734,0.7161776130008254,0.554009693438744,4.371287046994801,4.045873203717043
Rio Grande do Sul,0.06957993778460636,0.07774691047387397,0.8102890186329804,0.6750695470851962,2.371189520055788,2.1423065144872457
Mato Grosso do Sul,0.20823920588855782,0.28018018539194084,0.08140996881188058,0.08327180115465986,38.36798524074427,31.34115656659053
Mato Grosso,0.20668675062664496,0.21056721624367392,0.1386784366798156,0.16064618141940695,7.37235424859843,6.951782169626102
Goiás,0.39368989236454655,0.915374984193844,0.08211519538862583,0.09836512085254956,30.161737567091222,19.723681977519398
Distrito Federal,0.19707472194794878,0.2013521811828459,0.06677661918672059,0.053912755901500936,15.609505657138925,14.94287294927051
