Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.10521753398027428,0.09739280628653167,0.7183030381117143,0.8306808634442968,5.195150187823002,3.6427256941021326
Acre,0.13897986783667907,0.11857965223717712,0.4341326606583838,0.37585897686459485,53.08926321974983,37.94244262861346
Amazonas,0.034486708549561075,0.03748463457400157,0.20752435760376742,0.17736782546725954,3.76240659803354,2.9209999444671157
Roraima,0.16300716082791714,0.1930933011585725,0.15617760718511334,0.14613972259977653,8.768872187985686,9.884268091861609
Pará,0.057682930849351166,0.060747392701370945,0.22463874666584369,0.26416132796251485,1.57969505560921,1.5573884364030686
Amapá,0.050362165862789396,0.05008328804648581,0.24985573159615945,0.2616601277113926,4.030042977625004,2.4963793748735674
Tocantins,0.12542913806602518,0.08691383784358021,0.07536183481269654,0.0692543094385326,9.096640405185441,8.465321615572584
Maranhão,0.3842917865955363,0.5298326006698537,0.200362945060717,0.2218499691963197,2.8577924955918577,2.9472972543440243
Piauí,0.028831602285389092,0.03618140187209316,0.06498328924861516,0.05319381228104278,2.5945768907970073,3.2266557508881832
Ceará,0.021375733613662788,0.018481761782969883,0.2067779802402995,0.18949982522116623,5.544455711655568,5.042220504294286
Rio Grande do Norte,0.17467159650793426,0.12192433668209503,0.1550478345561702,0.1228929197171722,16.66083179663166,18.678557103290782
Paraíba,0.02105145553298771,0.02277999641499708,0.05365938464304073,0.11510112999228272,7.553256843121134,5.550857847414403
Pernambuco,0.0822806244490543,0.089393828869598,0.09970448181661508,0.11510066837281802,6.881244302644018,8.21137276854457
Alagoas,0.7473183574005136,0.7117893383102909,0.06627614407120146,0.05816790358691077,6.072495549151729,6.553192319012573
Sergipe,0.13952717204262338,0.09487692711525082,0.1900125279102905,0.13390096683451239,7.086099393140671,12.419544222531188
Bahia,0.14465023868522378,0.13283977103674408,0.06493562606709308,0.055897432063116315,4.242927084195526,4.390812771415085
Minas Gerais,0.017964297918046646,0.014180083526586618,0.05690211592375659,0.055392736740699326,20.7586086800399,17.6773647668115
Espírito Santo,0.1197523320706028,0.1262528219039568,0.06675884259674932,0.0718262157332245,17.714909549888045,14.182935384817936
Rio de Janeiro,0.16322145012630826,0.15592764811068568,0.11642121348432893,0.1251545544038839,4.797577814021157,3.507975260849617
São Paulo,0.09423146643592376,0.0912677137999066,0.09611657339372047,0.0758336324889694,11.652258257488873,10.894039913727616
Paraná,0.2424533337099052,0.24633431584007956,0.07318756854770381,0.09009989709922306,6.3303993484113095,3.8673544925917724
Santa Catarina,0.07528017655047385,0.0913453132926669,0.24641317051209208,0.26079575919250864,1.4897379872742258,0.950197077834197
Rio Grande do Sul,0.028378285927597998,0.02582021815087439,0.2560951643746256,0.2734671239775148,0.8226602331532907,0.5383466545904513
Mato Grosso do Sul,0.19263293592155611,0.20021200949112336,0.07143265508332454,0.06557684231518415,28.291619276292508,26.039886052708535
Mato Grosso,0.16722221431170697,0.1622631448202435,0.12382443702081865,0.15811836459942638,6.643497010608454,6.129850531172399
Goiás,0.16386013326286694,0.4360872831165874,0.09570119465608663,0.07922073048552151,22.204313081063518,16.13208405113275
Distrito Federal,0.1630972938455482,0.15478996189054275,0.05214308734801348,0.052636551807755706,14.689942846946764,11.614810387619167
