Department,NRMSE Validation (0-19),NRMSE Validation (All),MAE Validation (DengRate_all),MAE Validation (DengRate_019),RMSE Validation (DengRate_all),RMSE Validation (DengRate_019),MAPE Validation (DengRate_all),MAPE Validation (DengRate_019),R2 Validation (DengRate_all),R2 Validation (DengRate_019)
Rondônia,0.7777941392618416,0.8774715024757699,6.850979004147356,4.6107319332859085,9.041992967180725,6.433866474442012,2.3126562922300216,2.0065142065557744,-11.464250969868951,-10.184399882161106
Acre,0.2886236713785644,0.25154558744006544,43.16861855911264,31.73328063680781,70.26250222063857,52.87957632755851,0.4293963134572201,0.4441360984290594,0.35543760703664073,0.13838303998180823
Amazonas,0.23588773935814053,0.22157486568288337,6.398310958814881,4.730884346298568,7.205666006561666,5.490786124260454,1.4821557683067985,1.4227444656796884,0.17715036611813195,0.20262293310595525
Roraima,0.19191302486318154,0.16592722558835657,10.092667725351172,9.99509364059787,16.280411231168056,21.457794251759722,896159511303514.1,1105361462711639.4,0.5300944716161993,0.35231575353597133
Pará,0.2873704491506204,0.47660186177293973,4.228207872134607,2.214923865526971,4.5578950700289695,2.6710198235403113,1.1643405762801284,0.8447295305070943,-1.1618719571955634,0.11264523822914907
Amapá,0.3491656537773688,0.29525782092861125,4.923197529441095,3.7606185980026705,5.909337054040307,4.613992456754366,1.6662670970173081,1.3975372644752595,-0.22243000755983622,-0.9591462188979254
Tocantins,0.16082792499640564,0.14948634543178033,16.2082526174238,17.185084170260453,30.816914092821737,31.669234110788594,0.44830224433285765,0.4747995786245105,0.7905828108396942,0.7523698956946637
Maranhão,0.15286090124436683,0.24934306749480242,3.5507939315189234,2.3046084730144525,4.239916284145225,2.943174785318709,1.4942735149329958,0.858944439553734,0.22538672122370873,0.7031797751675926
Piauí,0.11036056627654423,0.08073972299177704,3.807480402170034,4.23830476074985,5.574488628679691,7.6537448871182745,0.5526110705224744,0.6473924472459043,0.896756636329224,0.8094186097987826
Ceará,0.1926551945185607,0.19511314887756506,6.321142922525552,4.874814235645473,7.439911651313305,5.8715226307767665,1.4439090738911997,1.352566689807183,0.5119249339090955,0.5138308585626169
Rio Grande do Norte,0.26673773582432214,0.17911509793808728,23.57745717669765,31.668154457421352,37.03263550135373,43.55836484318235,0.2544976036415522,0.3561336881372991,0.6376270208249437,0.43142334067299115
Paraíba,0.15901509558406185,0.09904444684868015,7.085100437680403,13.674504217921195,10.173904584209739,22.564089825790145,0.24066010584262001,0.2785620940282753,0.8710882311162305,0.6149715347485445
Pernambuco,0.1627172922333007,0.11833483171916581,7.4378941394623626,11.00812394978398,11.472351623076113,19.02027874274691,0.3431551888629654,0.32263878221761555,0.7368080036627167,0.5060900866119564
Alagoas,0.1552657390517027,0.11917057855102837,9.132061152140562,11.901427157253309,17.380110424366467,23.860618269395754,0.5108236499744899,0.44384238126727604,0.8496285250641471,0.7345458585952662
Sergipe,0.20209948085516655,0.13740498160383646,8.264361645226435,13.904755856116898,11.022871885519544,27.772230500744914,4.6516304824757055,3.377531425544246,0.7290187905234519,0.38637914571969323
Bahia,0.1375251444685309,0.10590599405771478,6.871021925474736,8.334851028106248,11.100672749720559,13.922065515937804,0.4995278421082771,0.40236019926976613,0.8182996068272087,0.7061752280600428
Minas Gerais,0.08064088020727449,0.08489942132212612,31.935215694135465,25.159989213979696,64.7840515209575,50.75657695317727,0.7356830580658377,0.6267102377808076,0.9085615165036087,0.9185071922377056
Espírito Santo,0.11165348060161949,0.12831533845100013,30.935905967405603,23.17459194293585,49.41759479535393,33.34044540504407,0.3119775378984081,0.35613258004172105,0.7823993959974104,0.8328433777698074
Rio de Janeiro,0.13350860356371805,0.14100577929524793,5.7992444733176525,3.9834232419318867,8.583842089980159,6.061905939728284,0.836414264234962,0.6156748491599827,0.6610766119652676,0.6841197133100877
São Paulo,0.06814234783121846,0.07473767131290075,12.272443212898096,8.692322277169415,20.7933899234253,13.904262649268514,0.8449265297975086,0.7577105687210127,0.936159582586501,0.9448402766008733
Paraná,0.11920171838908823,0.1360875790998627,10.11501438138603,6.704780121636989,16.316918097265305,10.975460098274517,2.0259316530502525,1.26630224412971,0.7143816390921001,0.76507260005405
Santa Catarina,0.19642348024835982,0.24317715923778904,2.041445935475925,1.063657787284986,2.5802689917069324,1.451938413336965,5.248271752856083,3.5530909315697574,0.1846483768702093,0.36685638364204787
Rio Grande do Sul,0.5225703376822849,0.6745130963566002,3.3214014479046448,1.7707741243656707,3.7340041536006128,2.1372393603475164,26.457779242097576,430683460381374.7,-6.129862848296658,-3.7810167862598023
Mato Grosso do Sul,0.10391658219135881,0.09819146783149234,42.42693664531421,36.25226556179057,69.78782931792239,62.34717061083264,0.9155313140726924,0.9963782861259101,0.8776741478538195,0.8685387151067079
Mato Grosso,0.1470168594976404,0.12295150568032721,5.380462412600885,6.157393500637255,7.607698394583623,9.699641581604775,0.22616332181013496,0.2639542300342831,0.8050970307735361,0.683047489033918
Goiás,0.1032420432267932,0.14455522406383037,42.5473257997284,19.5948744424837,56.73583577301696,29.632301476133616,0.339217134512335,0.27309089875623205,0.7619906289920853,0.864525091718668
Distrito Federal,0.08956879498517009,0.10187658556808686,23.328853827001115,17.297179204063823,45.627563127363594,31.194262674548348,0.39718028386997,0.39454129089702356,0.8419322570158793,0.8783858516572149
