Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation
Rondônia,0.037724178251032525,0.07828731371381586,0.037724178251032525,0.07828731371381586
Acre,0.30823139166371794,0.10152298760602174,0.30823139166371794,0.10152298760602174
Amazonas,0.0021487147109311303,0.036956708945627345,0.0021487147109311303,0.036956708945627345
Roraima,3.628081504118614,3.054711686240839,3.628081504118614,3.054711686240839
Pará,3.3518397533306716,4.123813585007684,3.3518397533306716,4.123813585007684
Amapá,3.726299583330581,5.291139278885031,3.726299583330581,5.291139278885031
Tocantins,5.258986806495169,4.232075473478773,5.258986806495169,4.232075473478773
Maranhão,1.865267583476723,1.7179144119365046,1.865267583476723,1.7179144119365046
Piauí,1.9157795534656787,1.8328053336340369,1.9157795534656787,1.8328053336340369
Ceará,5.469957378237555,7.366105480892859,5.469957378237555,7.366105480892859
Rio Grande do Norte,2.852012613604914,2.932582117625275,2.852012613604914,2.932582117625275
Paraíba,0.8810466696266626,1.0491237624691996,0.8810466696266626,1.0491237624691996
Pernambuco,3.4711852272109236,4.585904834457936,3.4711852272109236,4.585904834457936
Alagoas,4.226280730554785,4.818569479635875,4.226280730554785,4.818569479635875
Sergipe,9.500753747917873,5.003811950916046,9.500753747917873,5.003811950916046
Bahia,5.038017267449943,5.017480872415653,5.038017267449943,5.017480872415653
Minas Gerais,10.009566030833637,6.137290158334731,10.009566030833637,6.137290158334731
Espírito Santo,6.827082424120049,10.619433750509607,6.827082424120049,10.619433750509607
Rio de Janeiro,3.9503645713309163,5.2163395858798705,3.9503645713309163,5.2163395858798705
São Paulo,0.35878907623218365,0.5557163513488856,0.35878907623218365,0.5557163513488856
Paraná,1.6505313744085581,2.2953478127000286,1.6505313744085581,2.2953478127000286
Santa Catarina,4.0267154340218445,8.052245991668576,4.0267154340218445,8.052245991668576
Rio Grande do Sul,5.133675571577912,12.032233047888731,5.133675571577912,12.032233047888731
Mato Grosso do Sul,6.589071414876822,10.544584961953348,6.589071414876822,10.544584961953348
Mato Grosso,15.485035006278043,9.891032518608,15.485035006278043,9.891032518608
Goiás,8.474488283896791,8.795339264854073,8.474488283896791,8.795339264854073
Distrito Federal,7.5296841313426155,9.084401377285824,7.5296841313426155,9.084401377285824
