Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rio Grande do Norte,1.004766862364716,1.001633255069087,1.0694194149543061,1.1740978870990062,0.02633038695993806,0.022281754037142238
Paraíba,1.041331713220579,1.035523426972411,1.0816918924327434,1.0674903668034856,0.0394227700570871,0.03542862328826624
Pernambuco,0.9966723426548184,1.0149475352751685,1.8317020453616795,2.441331176258252,0.02075536656708787,0.016277128528512028
Alagoas,1.0341038144015067,1.0100264803566719,1.1157830508042854,1.6646989420506944,0.024821756976761394,0.020720867769010252
Sergipe,1.3741639130907202,2.1600972904722324,2.712783190301371,3.7281932022465094,0.023062524782431534,0.01673336676976084
Bahia,1.0036446519734035,1.0162042311618091,1.8314236215187993,2.1184814754622634,0.021659311148428947,0.016028735552925447
Minas Gerais,1.0686048071571033,1.0078184474582288,1.058272933855614,1.0168863052439796,0.033757700880146714,0.035737548988393826
Paraná,1.3534891229995751,2.2501126086191623,1.1366446783953235,1.424263904627388,0.025091284404709934,0.019097132756272978
Santa Catarina,1.0256398737604238,1.325750083448702,1.1919144151347778,1.6557247369831358,0.021103126063121213,0.017140876768615483
Rio Grande do Sul,1.050444144198346,1.0029188445359911,1.0023004255165153,1.01942049298362,0.024447195699346527,0.021855092110895116
Mato Grosso do Sul,1.072383750576682,1.018868192979937,1.1407937892226576,1.0692362505238375,0.054685082323395175,0.06343966168218508
Mato Grosso,1.004580977515033,1.0420510281119961,1.064282999356414,1.0064266364535537,0.03149404532673991,0.03526169503860017
Goiás,1.007862252555149,1.0118186019788045,1.0339739543667439,1.008976516046193,0.02626108874109735,0.024797209633901075
Distrito Federal,1.0334075969463112,1.0003435373944953,1.0229272429379592,1.004693629309618,0.027875100747932455,0.028146673933985733
