Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.2118084443494159,0.18299193620750281,0.2152951058335024,0.20292756711215684,4.937839578722903,4.539127708323671
Acre,0.1759596516458382,0.1945453525893014,0.26107866236734306,0.2106396864924668,35.16090594243662,25.738813207393186
Amazonas,0.07911736077413985,0.08380424105619366,0.3276179199078292,0.2506929503884367,5.879530359819337,5.676429854972443
Roraima,0.11244943206184206,0.12998207391295288,0.13996541016218444,0.12213266763723767,7.128343859090364,8.023260523696417
Pará,0.09202486802724913,0.09936595097748528,0.24768721778635905,0.24497931713975737,3.888646341651558,3.6857910848771334
Amapá,0.11906179696022447,0.12970482912065565,0.27527670810080984,0.23604789417531552,4.353142476394856,4.214056167690427
Tocantins,0.4998207477025179,0.24741940220343614,0.10554933136489737,0.09341716522666177,12.124878730011828,13.054531959413215
Maranhão,0.08110463506377419,0.1070954628706374,0.18525612552265786,0.14836048217149478,3.2135580989836483,3.427783372541594
Piauí,0.04504273401073177,0.05448301274254497,0.1109026116789265,0.12975730069673663,5.290510886137246,4.5628742835110305
Ceará,0.09566537946558769,0.10070044725753675,0.10769214530595836,0.10344329429299408,11.90010342571428,9.903687504725015
Rio Grande do Norte,0.3018684707855565,0.26794341458844856,0.20514774035159036,0.13245244608924925,18.426932577392872,23.19236989144757
Paraíba,0.5865546903232831,1.0963786068672052,0.0838347256543418,0.12474422339937462,8.650157106586008,8.007716723245847
Pernambuco,0.20843827361693193,0.21502821374495357,0.10825835003518892,0.1457123148468598,10.614268434368265,9.035087846486293
Alagoas,0.0717066377859613,0.05543119647459592,0.05159552256370483,0.06654320442826565,5.786845560275983,5.6217769313236845
Sergipe,0.4755751895850744,0.45873383420876235,0.18878233513748222,0.15774490590789872,7.739021305142444,12.2073297440699
Bahia,0.09464378970416316,0.13265507115613,0.11357254955059881,0.09244622089334617,6.362314181127783,7.432802294938416
Minas Gerais,0.1293256973857542,0.13737866042830507,0.040442014385446146,0.04106362810830847,17.90511802839626,13.89776171524634
Espírito Santo,0.07703915795026982,0.0988484121843847,0.04829175966121515,0.04165947131539038,11.99685430020512,11.242814525860869
Rio de Janeiro,0.20748069650527248,0.30432084103677715,0.16999873278192057,0.17024800476504057,6.625726976305978,5.139022547932463
São Paulo,0.23076999354308306,0.21914780146127302,0.0812130255379181,0.08809358268076735,11.262048010550293,8.210910436079619
Paraná,0.28640500195020774,0.3157452589025834,0.08962740694062966,0.10454027859447987,7.715079513727834,5.804412820136584
Santa Catarina,0.27415678767979895,0.32198883298510134,0.6113180779214693,0.419958025439528,4.328821272672061,4.410760978184934
Rio Grande do Sul,0.26598787415241903,0.26510028312903805,1.140075845442621,0.8104284497174802,4.369682525357238,4.590739850297475
Mato Grosso do Sul,0.25115035880593306,0.2839429832368173,0.06051641235650973,0.05864520966474406,27.744386837199144,22.868553020831605
Mato Grosso,0.2573541276394844,0.27028465063886603,0.12694457134961243,0.16419793444357716,7.283182434575205,6.306609554830465
Goiás,0.14354531539521034,0.17760675442287,0.09964505221221934,0.09453720059922611,30.953424049247545,22.515662502189254
Distrito Federal,0.09711187544847551,0.17246137443885898,0.06917275373463194,0.06609196363295905,15.880735758631127,13.322570265553386
