Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.14931162402636985,0.12550842332793377,0.17922361483394303,0.21034575151069324,5.042067984820798,3.707569507805232
Acre,0.1181791725900876,0.1157619288971627,0.3323875643774292,0.30695740259027576,37.809434688756056,26.59382343574047
Amazonas,0.03077759833453849,0.030019043740452868,0.20631245844004817,0.17274009770716509,3.854436293263796,3.117718304491601
Roraima,0.06892961875813135,0.07234611830996339,0.12469816154380026,0.1165789320281774,7.457861534309733,7.491087252538081
Pará,0.057141240868654956,0.05653795864393608,0.13862142354538262,0.130300238150033,2.0139119842061337,1.8558787164726738
Amapá,0.07159011648044426,0.07509146207561251,0.14276451479688126,0.1949619748659987,4.211274261003849,2.2945218785415324
Tocantins,0.10720174552239278,0.07686664697064576,0.06732382587096628,0.05856963662740597,7.417815280247137,7.513402232865401
Maranhão,0.02271891069499654,0.02712855024872593,0.1682006057981719,0.14444684829943588,2.866319584379014,2.7135453395673195
Piauí,0.01551292182805111,0.014956583301514656,0.06730145311624532,0.08032091324295085,3.6655483143142606,3.4344745917996837
Ceará,0.012601791785366296,0.014966493344611533,0.07921171382272296,0.07153300923229536,7.130132802933891,6.322373088100779
Rio Grande do Norte,0.18283212847945116,0.2004216558447011,0.12350894467348034,0.10522197732279599,13.636374939018943,14.056655675805379
Paraíba,0.29707327669643435,0.4805794480711078,0.04512326223477821,0.09719651248141527,6.562130326337414,4.762210646066913
Pernambuco,0.1300160450850903,0.12212747130050272,0.09504342599860145,0.12242494780621221,7.183030590202987,6.984237391653145
Alagoas,0.01475428709887859,0.016815456151120144,0.05852669095347521,0.05356847831121269,5.099942435045614,5.5291062941623
Sergipe,0.21132857739692432,0.2050382620232195,0.15518529899280223,0.10869887900032517,5.736340377902109,9.265146624156756
Bahia,0.0437330202951234,0.04947961280798458,0.05357949678595792,0.045254391638112186,3.255549092146696,3.3575133297891515
Minas Gerais,0.11053158599586863,0.1078485191632562,0.049610057786864295,0.049598685703070196,15.713410222054721,13.099355857253727
Espírito Santo,0.04141970933276899,0.049725962081334424,0.06118515878912582,0.054556531747155856,12.823209181781884,11.810869082439435
Rio de Janeiro,0.16756275300906393,0.17929191614117973,0.1236981554518846,0.12480952862209532,4.60368214433092,3.481263271659957
São Paulo,0.1667509241561644,0.15831531241869218,0.06875064283546793,0.06542715209501675,9.04481703284863,7.445654702564301
Paraná,0.13456656380206547,0.15284556582002518,0.06462346705617107,0.07753591887454295,5.126268114184219,3.31970440508957
Santa Catarina,0.19029345625905114,0.19509956177196938,0.22823924806452464,0.24178175415754477,1.212455565835533,0.7556211646246822
Rio Grande do Sul,0.14132472861331793,0.1327321435814452,0.255378216595296,0.26178514588514495,0.7048130191193113,0.512758483056392
Mato Grosso do Sul,0.09586714196516213,0.11048420754170084,0.058036069916473094,0.05254328712744291,20.96474339232329,18.989876960433953
Mato Grosso,0.1376326160413207,0.145225009138644,0.12333549872422885,0.1473883812515335,6.4183220892940245,5.962951867333832
Goiás,0.06665804618799107,0.08747205612904518,0.08677575526684846,0.08081648336192551,23.289958895307098,16.685564135024876
Distrito Federal,0.10117595054338813,0.10356357168645537,0.04105933883770677,0.045708887120492675,11.894896017867318,10.142868756847413
