Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,0.0
2009-05,0.0
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,0.0
2009-10,0.0
2009-11,0.0
2009-12,0.0
2010-01,0.0
2010-02,0.0
2010-03,0.0
2010-04,0.0
2010-05,0.0
2010-06,0.0
2010-07,0.0
2010-08,0.0
2010-09,0.0
2010-10,0.0
2010-11,0.0
2010-12,0.0
2011-01,0.0
2011-02,0.0
2011-03,50.0
2011-04,73.0
2011-05,31.0
2011-06,52.0
2011-07,35.0
2011-08,33.0
2011-09,32.0
2011-10,0.0
2011-11,0.0
2011-12,0.0
2012-01,0.0
2012-02,32.0
2012-03,0.0
2012-04,0.0
2012-05,33.0
2012-06,37.0
2012-07,0.0
2012-08,0.0
2012-09,0.0
2012-10,20.0
2012-11,0.0
2012-12,0.0
2013-01,31.0
2013-02,65.0
2013-03,72.0
2013-04,52.0
2013-05,38.0
2013-06,25.0
2013-07,0.0
2013-08,0.0
2013-09,0.0
2013-10,18.0
2013-11,0.0
2013-12,19.0
2014-01,27.0
2014-02,0.0
2014-03,20.0
2014-04,15.0
2014-05,31.0
2014-06,0.0
2014-07,24.0
2014-08,0.0
2014-09,0.0
2014-10,0.0
2014-11,0.0
2014-12,0.0
2015-01,0.0
2015-02,25.0
2015-03,25.0
2015-04,34.0
2015-05,62.0
2015-06,58.0
2015-07,41.0
2015-08,30.0
2015-09,0.0
2015-10,29.0
2015-11,23.0
2015-12,57.0
2016-01,54.0
2016-02,95.0
2016-03,81.0
2016-04,50.0
2016-05,26.0
2016-06,18.0
2016-07,0.0
2016-08,0.0
2016-09,0.0
2016-10,0.0
2016-11,0.0
2016-12,0.0
2017-01,17.0
2017-02,16.0
2017-03,20.0
2017-04,0.0
2017-05,18.0
2017-06,0.0
2017-07,0.0
2017-08,0.0
2017-09,0.0
2017-10,0.0
2017-11,0.0
2017-12,23.0
2018-01,21.0
2018-02,0.0
2018-03,0.0
2018-04,27.0
2018-05,23.0
2018-06,16.0
2018-07,15.0
2018-08,15.0
2018-09,0.0
2018-10,0.0
2018-11,0.0
2018-12,0.0
2019-01,32.0
2019-02,37.0
2019-03,48.0
2019-04,68.0
2019-05,82.0
2019-06,100.0
2019-07,63.0
2019-08,40.0
2019-09,27.0
2019-10,31.0
2019-11,20.0
2019-12,35.0
