Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,14.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,15.0
2007-04,9.0
2007-05,9.0
2007-06,0.0
2007-07,0.0
2007-08,5.0
2007-09,0.0
2007-10,5.0
2007-11,0.0
2007-12,5.0
2008-01,5.0
2008-02,8.0
2008-03,27.0
2008-04,66.0
2008-05,20.0
2008-06,10.0
2008-07,4.0
2008-08,0.0
2008-09,3.0
2008-10,4.0
2008-11,6.0
2008-12,8.0
2009-01,8.0
2009-02,13.0
2009-03,21.0
2009-04,21.0
2009-05,16.0
2009-06,9.0
2009-07,5.0
2009-08,7.0
2009-09,5.0
2009-10,4.0
2009-11,0.0
2009-12,6.0
2010-01,10.0
2010-02,20.0
2010-03,35.0
2010-04,39.0
2010-05,25.0
2010-06,14.0
2010-07,6.0
2010-08,5.0
2010-09,3.0
2010-10,6.0
2010-11,9.0
2010-12,9.0
2011-01,10.0
2011-02,11.0
2011-03,17.0
2011-04,18.0
2011-05,10.0
2011-06,8.0
2011-07,8.0
2011-08,6.0
2011-09,6.0
2011-10,6.0
2011-11,8.0
2011-12,8.0
2012-01,10.0
2012-02,9.0
2012-03,11.0
2012-04,13.0
2012-05,10.0
2012-06,9.0
2012-07,7.0
2012-08,5.0
2012-09,5.0
2012-10,5.0
2012-11,6.0
2012-12,7.0
2013-01,17.0
2013-02,32.0
2013-03,61.0
2013-04,83.0
2013-05,31.0
2013-06,18.0
2013-07,8.0
2013-08,6.0
2013-09,5.0
2013-10,4.0
2013-11,5.0
2013-12,5.0
2014-01,7.0
2014-02,9.0
2014-03,12.0
2014-04,19.0
2014-05,16.0
2014-06,10.0
2014-07,6.0
2014-08,6.0
2014-09,6.0
2014-10,6.0
2014-11,6.0
2014-12,6.0
2015-01,7.0
2015-02,12.0
2015-03,34.0
2015-04,57.0
2015-05,50.0
2015-06,23.0
2015-07,11.0
2015-08,8.0
2015-09,6.0
2015-10,7.0
2015-11,8.0
2015-12,22.0
2016-01,34.0
2016-02,85.0
2016-03,100.0
2016-04,73.0
2016-05,31.0
2016-06,10.0
2016-07,6.0
2016-08,4.0
2016-09,5.0
2016-10,4.0
2016-11,6.0
2016-12,8.0
2017-01,10.0
2017-02,10.0
2017-03,11.0
2017-04,10.0
2017-05,7.0
2017-06,5.0
2017-07,4.0
2017-08,4.0
2017-09,4.0
2017-10,5.0
2017-11,6.0
2017-12,7.0
2018-01,9.0
2018-02,9.0
2018-03,10.0
2018-04,9.0
2018-05,7.0
2018-06,5.0
2018-07,4.0
2018-08,4.0
2018-09,4.0
2018-10,4.0
2018-11,5.0
2018-12,8.0
2019-01,14.0
2019-02,24.0
2019-03,49.0
2019-04,88.0
2019-05,88.0
2019-06,39.0
2019-07,12.0
2019-08,7.0
2019-09,7.0
2019-10,6.0
2019-11,7.0
2019-12,9.0
