Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,14.0
2004-10,13.0
2004-11,0.0
2004-12,0.0
2005-01,16.0
2005-02,18.0
2005-03,18.0
2005-04,0.0
2005-05,15.0
2005-06,11.0
2005-07,0.0
2005-08,10.0
2005-09,0.0
2005-10,7.0
2005-11,11.0
2005-12,9.0
2006-01,11.0
2006-02,11.0
2006-03,11.0
2006-04,13.0
2006-05,7.0
2006-06,12.0
2006-07,11.0
2006-08,12.0
2006-09,6.0
2006-10,8.0
2006-11,9.0
2006-12,14.0
2007-01,6.0
2007-02,10.0
2007-03,10.0
2007-04,11.0
2007-05,9.0
2007-06,9.0
2007-07,9.0
2007-08,6.0
2007-09,12.0
2007-10,17.0
2007-11,16.0
2007-12,11.0
2008-01,18.0
2008-02,20.0
2008-03,69.0
2008-04,92.0
2008-05,25.0
2008-06,17.0
2008-07,10.0
2008-08,11.0
2008-09,11.0
2008-10,10.0
2008-11,14.0
2008-12,13.0
2009-01,11.0
2009-02,19.0
2009-03,27.0
2009-04,13.0
2009-05,11.0
2009-06,10.0
2009-07,6.0
2009-08,9.0
2009-09,10.0
2009-10,9.0
2009-11,10.0
2009-12,9.0
2010-01,9.0
2010-02,11.0
2010-03,12.0
2010-04,14.0
2010-05,13.0
2010-06,9.0
2010-07,14.0
2010-08,7.0
2010-09,8.0
2010-10,10.0
2010-11,11.0
2010-12,12.0
2011-01,11.0
2011-02,13.0
2011-03,23.0
2011-04,31.0
2011-05,14.0
2011-06,12.0
2011-07,10.0
2011-08,9.0
2011-09,10.0
2011-10,14.0
2011-11,16.0
2011-12,14.0
2012-01,12.0
2012-02,11.0
2012-03,13.0
2012-04,16.0
2012-05,14.0
2012-06,12.0
2012-07,9.0
2012-08,9.0
2012-09,9.0
2012-10,9.0
2012-11,9.0
2012-12,10.0
2013-01,10.0
2013-02,15.0
2013-03,17.0
2013-04,22.0
2013-05,12.0
2013-06,10.0
2013-07,8.0
2013-08,8.0
2013-09,10.0
2013-10,11.0
2013-11,12.0
2013-12,11.0
2014-01,10.0
2014-02,8.0
2014-03,10.0
2014-04,14.0
2014-05,13.0
2014-06,13.0
2014-07,10.0
2014-08,10.0
2014-09,12.0
2014-10,12.0
2014-11,14.0
2014-12,13.0
2015-01,12.0
2015-02,17.0
2015-03,24.0
2015-04,28.0
2015-05,26.0
2015-06,19.0
2015-07,14.0
2015-08,15.0
2015-09,17.0
2015-10,16.0
2015-11,23.0
2015-12,59.0
2016-01,37.0
2016-02,100.0
2016-03,59.0
2016-04,45.0
2016-05,24.0
2016-06,18.0
2016-07,17.0
2016-08,13.0
2016-09,15.0
2016-10,16.0
2016-11,20.0
2016-12,19.0
2017-01,25.0
2017-02,32.0
2017-03,31.0
2017-04,24.0
2017-05,18.0
2017-06,17.0
2017-07,13.0
2017-08,14.0
2017-09,18.0
2017-10,18.0
2017-11,21.0
2017-12,24.0
2018-01,42.0
2018-02,33.0
2018-03,29.0
2018-04,18.0
2018-05,15.0
2018-06,16.0
2018-07,16.0
2018-08,15.0
2018-09,17.0
2018-10,17.0
2018-11,22.0
2018-12,20.0
2019-01,18.0
2019-02,35.0
2019-03,31.0
2019-04,32.0
2019-05,39.0
2019-06,28.0
2019-07,18.0
2019-08,15.0
2019-09,20.0
2019-10,20.0
2019-11,21.0
2019-12,23.0
