Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,20.0
2006-02,28.0
2006-03,12.0
2006-04,19.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,11.0
2007-01,9.0
2007-02,11.0
2007-03,19.0
2007-04,29.0
2007-05,18.0
2007-06,7.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,6.0
2007-11,13.0
2007-12,12.0
2008-01,24.0
2008-02,25.0
2008-03,87.0
2008-04,100.0
2008-05,27.0
2008-06,9.0
2008-07,0.0
2008-08,0.0
2008-09,6.0
2008-10,5.0
2008-11,6.0
2008-12,7.0
2009-01,11.0
2009-02,15.0
2009-03,20.0
2009-04,12.0
2009-05,7.0
2009-06,8.0
2009-07,5.0
2009-08,6.0
2009-09,4.0
2009-10,4.0
2009-11,5.0
2009-12,0.0
2010-01,5.0
2010-02,8.0
2010-03,18.0
2010-04,20.0
2010-05,19.0
2010-06,11.0
2010-07,10.0
2010-08,7.0
2010-09,6.0
2010-10,6.0
2010-11,8.0
2010-12,9.0
2011-01,11.0
2011-02,21.0
2011-03,51.0
2011-04,73.0
2011-05,37.0
2011-06,20.0
2011-07,19.0
2011-08,14.0
2011-09,13.0
2011-10,13.0
2011-11,14.0
2011-12,14.0
2012-01,17.0
2012-02,18.0
2012-03,29.0
2012-04,40.0
2012-05,43.0
2012-06,28.0
2012-07,15.0
2012-08,11.0
2012-09,10.0
2012-10,6.0
2012-11,6.0
2012-12,8.0
2013-01,16.0
2013-02,31.0
2013-03,57.0
2013-04,62.0
2013-05,30.0
2013-06,20.0
2013-07,9.0
2013-08,6.0
2013-09,5.0
2013-10,5.0
2013-11,7.0
2013-12,6.0
2014-01,9.0
2014-02,7.0
2014-03,9.0
2014-04,13.0
2014-05,13.0
2014-06,9.0
2014-07,8.0
2014-08,8.0
2014-09,8.0
2014-10,8.0
2014-11,7.0
2014-12,7.0
2015-01,9.0
2015-02,17.0
2015-03,38.0
2015-04,55.0
2015-05,52.0
2015-06,26.0
2015-07,12.0
2015-08,11.0
2015-09,9.0
2015-10,8.0
2015-11,13.0
2015-12,33.0
2016-01,35.0
2016-02,63.0
2016-03,58.0
2016-04,53.0
2016-05,21.0
2016-06,10.0
2016-07,7.0
2016-08,5.0
2016-09,4.0
2016-10,4.0
2016-11,6.0
2016-12,7.0
2017-01,12.0
2017-02,13.0
2017-03,13.0
2017-04,10.0
2017-05,6.0
2017-06,6.0
2017-07,4.0
2017-08,3.0
2017-09,4.0
2017-10,5.0
2017-11,5.0
2017-12,6.0
2018-01,11.0
2018-02,11.0
2018-03,13.0
2018-04,11.0
2018-05,9.0
2018-06,6.0
2018-07,5.0
2018-08,4.0
2018-09,4.0
2018-10,4.0
2018-11,6.0
2018-12,7.0
2019-01,9.0
2019-02,14.0
2019-03,22.0
2019-04,37.0
2019-05,39.0
2019-06,26.0
2019-07,12.0
2019-08,7.0
2019-09,7.0
2019-10,6.0
2019-11,6.0
2019-12,8.0
