Date,Interest
2004-01,5.0
2004-02,9.0
2004-03,15.0
2004-04,12.0
2004-05,9.0
2004-06,7.0
2004-07,2.0
2004-08,6.0
2004-09,6.0
2004-10,6.0
2004-11,11.0
2004-12,4.0
2005-01,6.0
2005-02,6.0
2005-03,8.0
2005-04,7.0
2005-05,8.0
2005-06,7.0
2005-07,3.0
2005-08,7.0
2005-09,6.0
2005-10,6.0
2005-11,11.0
2005-12,4.0
2006-01,6.0
2006-02,11.0
2006-03,17.0
2006-04,21.0
2006-05,15.0
2006-06,8.0
2006-07,4.0
2006-08,6.0
2006-09,5.0
2006-10,5.0
2006-11,9.0
2006-12,5.0
2007-01,6.0
2007-02,11.0
2007-03,30.0
2007-04,42.0
2007-05,23.0
2007-06,12.0
2007-07,6.0
2007-08,6.0
2007-09,7.0
2007-10,11.0
2007-11,16.0
2007-12,7.0
2008-01,10.0
2008-02,10.0
2008-03,43.0
2008-04,82.0
2008-05,26.0
2008-06,13.0
2008-07,4.0
2008-08,5.0
2008-09,6.0
2008-10,7.0
2008-11,10.0
2008-12,4.0
2009-01,6.0
2009-02,10.0
2009-03,14.0
2009-04,11.0
2009-05,8.0
2009-06,5.0
2009-07,2.0
2009-08,3.0
2009-09,4.0
2009-10,4.0
2009-11,7.0
2009-12,4.0
2010-01,7.0
2010-02,16.0
2010-03,23.0
2010-04,21.0
2010-05,15.0
2010-06,7.0
2010-07,3.0
2010-08,4.0
2010-09,5.0
2010-10,4.0
2010-11,7.0
2010-12,5.0
2011-01,6.0
2011-02,10.0
2011-03,18.0
2011-04,19.0
2011-05,11.0
2011-06,7.0
2011-07,4.0
2011-08,4.0
2011-09,5.0
2011-10,5.0
2011-11,6.0
2011-12,4.0
2012-01,6.0
2012-02,6.0
2012-03,8.0
2012-04,7.0
2012-05,7.0
2012-06,5.0
2012-07,3.0
2012-08,4.0
2012-09,4.0
2012-10,4.0
2012-11,4.0
2012-12,3.0
2013-01,6.0
2013-02,12.0
2013-03,20.0
2013-04,29.0
2013-05,14.0
2013-06,7.0
2013-07,3.0
2013-08,4.0
2013-09,3.0
2013-10,4.0
2013-11,5.0
2013-12,3.0
2014-01,5.0
2014-02,6.0
2014-03,14.0
2014-04,40.0
2014-05,34.0
2014-06,12.0
2014-07,5.0
2014-08,5.0
2014-09,5.0
2014-10,5.0
2014-11,6.0
2014-12,5.0
2015-01,11.0
2015-02,39.0
2015-03,100.0
2015-04,94.0
2015-05,52.0
2015-06,17.0
2015-07,6.0
2015-08,6.0
2015-09,6.0
2015-10,6.0
2015-11,10.0
2015-12,22.0
2016-01,24.0
2016-02,56.0
2016-03,53.0
2016-04,35.0
2016-05,13.0
2016-06,6.0
2016-07,4.0
2016-08,4.0
2016-09,4.0
2016-10,5.0
2016-11,6.0
2016-12,6.0
2017-01,8.0
2017-02,10.0
2017-03,9.0
2017-04,5.0
2017-05,5.0
2017-06,4.0
2017-07,2.0
2017-08,3.0
2017-09,4.0
2017-10,5.0
2017-11,5.0
2017-12,4.0
2018-01,7.0
2018-02,6.0
2018-03,5.0
2018-04,5.0
2018-05,4.0
2018-06,3.0
2018-07,2.0
2018-08,2.0
2018-09,3.0
2018-10,4.0
2018-11,5.0
2018-12,5.0
2019-01,8.0
2019-02,20.0
2019-03,26.0
2019-04,34.0
2019-05,38.0
2019-06,19.0
2019-07,7.0
2019-08,5.0
2019-09,5.0
2019-10,5.0
2019-11,5.0
2019-12,5.0
