Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,13
fev. 2011,0
mar. 2011,0
abr. 2011,22
mai. 2011,15
jun. 2011,0
jul. 2011,10
ago. 2011,0
set. 2011,0
out. 2011,0
nov. 2011,0
dez. 2011,0
jan. 2012,0
fev. 2012,0
mar. 2012,11
abr. 2012,12
mai. 2012,10
jun. 2012,0
jul. 2012,0
ago. 2012,0
set. 2012,0
out. 2012,0
nov. 2012,0
dez. 2012,0
jan. 2013,7
fev. 2013,13
mar. 2013,18
abr. 2013,35
mai. 2013,12
jun. 2013,9
jul. 2013,8
ago. 2013,0
set. 2013,7
out. 2013,0
nov. 2013,7
dez. 2013,0
jan. 2014,6
fev. 2014,10
mar. 2014,15
abr. 2014,48
mai. 2014,33
jun. 2014,7
jul. 2014,0
ago. 2014,8
set. 2014,0
out. 2014,0
nov. 2014,6
dez. 2014,0
jan. 2015,9
fev. 2015,42
mar. 2015,100
abr. 2015,83
mai. 2015,42
jun. 2015,14
jul. 2015,9
ago. 2015,9
set. 2015,0
out. 2015,5
nov. 2015,7
dez. 2015,10
jan. 2016,17
fev. 2016,20
mar. 2016,29
abr. 2016,28
mai. 2016,13
jun. 2016,0
jul. 2016,0
ago. 2016,0
set. 2016,0
out. 2016,0
nov. 2016,6
dez. 2016,0
jan. 2017,0
fev. 2017,5
mar. 2017,6
abr. 2017,7
mai. 2017,0
jun. 2017,0
jul. 2017,0
ago. 2017,0
set. 2017,0
out. 2017,0
nov. 2017,7
dez. 2017,0
jan. 2018,0
fev. 2018,0
mar. 2018,5
abr. 2018,5
mai. 2018,0
jun. 2018,0
jul. 2018,0
ago. 2018,0
set. 2018,0
out. 2018,0
nov. 2018,7
dez. 2018,8
jan. 2019,7
fev. 2019,15
mar. 2019,26
abr. 2019,32
mai. 2019,37
jun. 2019,16
jul. 2019,5
ago. 2019,7
set. 2019,6
out. 2019,5
nov. 2019,5
dez. 2019,0
