Category: All categories

Month,mosquito: (State of Rio Grande do Sul)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,11
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,8
2007-02,0
2007-03,21
2007-04,36
2007-05,45
2007-06,10
2007-07,6
2007-08,8
2007-09,8
2007-10,14
2007-11,12
2007-12,13
2008-01,16
2008-02,9
2008-03,27
2008-04,64
2008-05,25
2008-06,5
2008-07,9
2008-08,0
2008-09,8
2008-10,6
2008-11,10
2008-12,9
2009-01,16
2009-02,17
2009-03,19
2009-04,20
2009-05,11
2009-06,9
2009-07,5
2009-08,0
2009-09,6
2009-10,9
2009-11,9
2009-12,12
2010-01,13
2010-02,13
2010-03,24
2010-04,14
2010-05,9
2010-06,6
2010-07,26
2010-08,9
2010-09,9
2010-10,7
2010-11,10
2010-12,9
2011-01,12
2011-02,14
2011-03,17
2011-04,17
2011-05,9
2011-06,6
2011-07,5
2011-08,4
2011-09,6
2011-10,8
2011-11,9
2011-12,15
2012-01,13
2012-02,10
2012-03,11
2012-04,9
2012-05,9
2012-06,6
2012-07,5
2012-08,6
2012-09,5
2012-10,8
2012-11,8
2012-12,9
2013-01,12
2013-02,15
2013-03,17
2013-04,17
2013-05,9
2013-06,5
2013-07,5
2013-08,5
2013-09,5
2013-10,7
2013-11,9
2013-12,14
2014-01,14
2014-02,9
2014-03,12
2014-04,13
2014-05,10
2014-06,5
2014-07,6
2014-08,6
2014-09,7
2014-10,9
2014-11,12
2014-12,12
2015-01,16
2015-02,16
2015-03,26
2015-04,32
2015-05,20
2015-06,11
2015-07,8
2015-08,10
2015-09,7
2015-10,10
2015-11,16
2015-12,42
2016-01,46
2016-02,92
2016-03,100
2016-04,63
2016-05,21
2016-06,13
2016-07,8
2016-08,8
2016-09,8
2016-10,12
2016-11,19
2016-12,20
2017-01,26
2017-02,21
2017-03,19
2017-04,15
2017-05,15
2017-06,11
2017-07,7
2017-08,9
2017-09,13
2017-10,16
2017-11,17
2017-12,19
2018-01,28
2018-02,22
2018-03,20
2018-04,22
2018-05,15
2018-06,9
2018-07,6
2018-08,8
2018-09,10
2018-10,14
2018-11,21
2018-12,24
2019-01,29
2019-02,23
2019-03,27
2019-04,25
2019-05,25
2019-06,20
2019-07,10
2019-08,8
2019-09,10
2019-10,13
2019-11,20
2019-12,23
