Category: All categories

Month,sintomas dengue: (State of Amazonas)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,55
2011-01,32
2011-02,100
2011-03,57
2011-04,26
2011-05,15
2011-06,17
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,16
2012-03,14
2012-04,12
2012-05,11
2012-06,7
2012-07,7
2012-08,0
2012-09,4
2012-10,4
2012-11,6
2012-12,10
2013-01,21
2013-02,30
2013-03,31
2013-04,30
2013-05,13
2013-06,14
2013-07,14
2013-08,0
2013-09,7
2013-10,7
2013-11,6
2013-12,9
2014-01,9
2014-02,11
2014-03,18
2014-04,19
2014-05,16
2014-06,10
2014-07,7
2014-08,0
2014-09,0
2014-10,0
2014-11,7
2014-12,0
2015-01,0
2015-02,11
2015-03,21
2015-04,19
2015-05,16
2015-06,11
2015-07,8
2015-08,7
2015-09,5
2015-10,5
2015-11,6
2015-12,18
2016-01,20
2016-02,54
2016-03,49
2016-04,37
2016-05,29
2016-06,15
2016-07,0
2016-08,5
2016-09,6
2016-10,4
2016-11,8
2016-12,0
2017-01,13
2017-02,15
2017-03,10
2017-04,9
2017-05,9
2017-06,6
2017-07,4
2017-08,0
2017-09,0
2017-10,4
2017-11,6
2017-12,6
2018-01,5
2018-02,8
2018-03,6
2018-04,11
2018-05,7
2018-06,7
2018-07,4
2018-08,6
2018-09,4
2018-10,4
2018-11,0
2018-12,4
2019-01,7
2019-02,9
2019-03,8
2019-04,6
2019-05,8
2019-06,10
2019-07,5
2019-08,3
2019-09,3
2019-10,4
2019-11,8
2019-12,7
