Category: All categories

Month,mosquito: (State of Mato Grosso do Sul)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,53
2007-12,0
2008-01,0
2008-02,81
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,14
2011-02,28
2011-03,32
2011-04,31
2011-05,18
2011-06,10
2011-07,0
2011-08,8
2011-09,11
2011-10,12
2011-11,11
2011-12,11
2012-01,13
2012-02,13
2012-03,16
2012-04,13
2012-05,12
2012-06,12
2012-07,16
2012-08,14
2012-09,11
2012-10,14
2012-11,10
2012-12,14
2013-01,36
2013-02,54
2013-03,33
2013-04,26
2013-05,15
2013-06,10
2013-07,10
2013-08,5
2013-09,7
2013-10,14
2013-11,15
2013-12,10
2014-01,13
2014-02,15
2014-03,17
2014-04,14
2014-05,10
2014-06,13
2014-07,9
2014-08,12
2014-09,8
2014-10,18
2014-11,13
2014-12,17
2015-01,11
2015-02,18
2015-03,27
2015-04,26
2015-05,29
2015-06,20
2015-07,9
2015-08,13
2015-09,16
2015-10,14
2015-11,26
2015-12,63
2016-01,55
2016-02,100
2016-03,99
2016-04,53
2016-05,24
2016-06,18
2016-07,12
2016-08,15
2016-09,17
2016-10,11
2016-11,17
2016-12,17
2017-01,18
2017-02,20
2017-03,24
2017-04,18
2017-05,22
2017-06,16
2017-07,11
2017-08,15
2017-09,14
2017-10,15
2017-11,25
2017-12,17
2018-01,28
2018-02,17
2018-03,21
2018-04,18
2018-05,12
2018-06,16
2018-07,14
2018-08,18
2018-09,15
2018-10,22
2018-11,23
2018-12,20
2019-01,15
2019-02,24
2019-03,56
2019-04,53
2019-05,32
2019-06,22
2019-07,14
2019-08,17
2019-09,21
2019-10,18
2019-11,18
2019-12,24
