Category: All categories

Month,sintomas de dengue: (State of Bahia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,51
2007-12,0
2008-01,0
2008-02,0
2008-03,41
2008-04,100
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,42
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,44
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,14
2011-03,28
2011-04,34
2011-05,29
2011-06,36
2011-07,46
2011-08,32
2011-09,18
2011-10,27
2011-11,12
2011-12,27
2012-01,20
2012-02,29
2012-03,39
2012-04,44
2012-05,30
2012-06,31
2012-07,24
2012-08,24
2012-09,30
2012-10,19
2012-11,14
2012-12,10
2013-01,0
2013-02,18
2013-03,32
2013-04,48
2013-05,34
2013-06,22
2013-07,26
2013-08,17
2013-09,10
2013-10,10
2013-11,8
2013-12,8
2014-01,14
2014-02,11
2014-03,20
2014-04,26
2014-05,27
2014-06,22
2014-07,23
2014-08,15
2014-09,15
2014-10,13
2014-11,15
2014-12,12
2015-01,7
2015-02,14
2015-03,36
2015-04,56
2015-05,58
2015-06,44
2015-07,32
2015-08,20
2015-09,13
2015-10,6
2015-11,11
2015-12,18
2016-01,15
2016-02,63
2016-03,64
2016-04,43
2016-05,22
2016-06,17
2016-07,13
2016-08,10
2016-09,7
2016-10,11
2016-11,10
2016-12,8
2017-01,12
2017-02,13
2017-03,12
2017-04,15
2017-05,10
2017-06,10
2017-07,9
2017-08,8
2017-09,5
2017-10,6
2017-11,9
2017-12,14
2018-01,11
2018-02,11
2018-03,14
2018-04,17
2018-05,11
2018-06,13
2018-07,11
2018-08,8
2018-09,8
2018-10,8
2018-11,11
2018-12,11
2019-01,11
2019-02,21
2019-03,28
2019-04,40
2019-05,59
2019-06,49
2019-07,39
2019-08,30
2019-09,26
2019-10,14
2019-11,16
2019-12,19
