Category: All categories

Month,sintomas dengue: (State of Minas Gerais)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,9
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,7
2007-03,17
2007-04,11
2007-05,10
2007-06,0
2007-07,5
2007-08,0
2007-09,0
2007-10,5
2007-11,0
2007-12,6
2008-01,7
2008-02,8
2008-03,28
2008-04,62
2008-05,21
2008-06,11
2008-07,0
2008-08,4
2008-09,0
2008-10,5
2008-11,5
2008-12,7
2009-01,9
2009-02,12
2009-03,22
2009-04,23
2009-05,15
2009-06,9
2009-07,6
2009-08,6
2009-09,4
2009-10,4
2009-11,3
2009-12,6
2010-01,12
2010-02,18
2010-03,37
2010-04,41
2010-05,25
2010-06,16
2010-07,7
2010-08,4
2010-09,4
2010-10,4
2010-11,8
2010-12,7
2011-01,10
2011-02,11
2011-03,18
2011-04,19
2011-05,10
2011-06,8
2011-07,8
2011-08,6
2011-09,6
2011-10,6
2011-11,8
2011-12,9
2012-01,11
2012-02,10
2012-03,11
2012-04,13
2012-05,11
2012-06,9
2012-07,7
2012-08,5
2012-09,6
2012-10,5
2012-11,6
2012-12,7
2013-01,17
2013-02,32
2013-03,64
2013-04,89
2013-05,32
2013-06,18
2013-07,8
2013-08,6
2013-09,4
2013-10,4
2013-11,5
2013-12,5
2014-01,7
2014-02,10
2014-03,12
2014-04,19
2014-05,17
2014-06,10
2014-07,6
2014-08,6
2014-09,6
2014-10,6
2014-11,5
2014-12,6
2015-01,7
2015-02,12
2015-03,35
2015-04,58
2015-05,51
2015-06,23
2015-07,11
2015-08,8
2015-09,6
2015-10,7
2015-11,8
2015-12,23
2016-01,35
2016-02,81
2016-03,93
2016-04,75
2016-05,31
2016-06,10
2016-07,6
2016-08,4
2016-09,5
2016-10,4
2016-11,6
2016-12,8
2017-01,10
2017-02,10
2017-03,11
2017-04,10
2017-05,7
2017-06,5
2017-07,4
2017-08,4
2017-09,4
2017-10,6
2017-11,6
2017-12,6
2018-01,9
2018-02,9
2018-03,11
2018-04,10
2018-05,7
2018-06,5
2018-07,4
2018-08,4
2018-09,4
2018-10,4
2018-11,5
2018-12,8
2019-01,14
2019-02,25
2019-03,51
2019-04,100
2019-05,94
2019-06,40
2019-07,13
2019-08,8
2019-09,7
2019-10,6
2019-11,7
2019-12,9
