Category: All categories

Month,dengue: (Ceará)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,10
2005-04,0
2005-05,10
2005-06,15
2005-07,10
2005-08,21
2005-09,9
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,15
2006-03,8
2006-04,11
2006-05,18
2006-06,0
2006-07,0
2006-08,12
2006-09,6
2006-10,0
2006-11,8
2006-12,7
2007-01,0
2007-02,8
2007-03,21
2007-04,18
2007-05,20
2007-06,18
2007-07,11
2007-08,7
2007-09,5
2007-10,7
2007-11,9
2007-12,7
2008-01,7
2008-02,14
2008-03,31
2008-04,100
2008-05,41
2008-06,19
2008-07,4
2008-08,5
2008-09,6
2008-10,6
2008-11,7
2008-12,4
2009-01,5
2009-02,12
2009-03,19
2009-04,13
2009-05,8
2009-06,8
2009-07,4
2009-08,4
2009-09,4
2009-10,2
2009-11,6
2009-12,3
2010-01,4
2010-02,8
2010-03,14
2010-04,13
2010-05,12
2010-06,5
2010-07,4
2010-08,6
2010-09,6
2010-10,4
2010-11,6
2010-12,6
2011-01,8
2011-02,17
2011-03,29
2011-04,29
2011-05,16
2011-06,9
2011-07,6
2011-08,6
2011-09,5
2011-10,5
2011-11,5
2011-12,4
2012-01,4
2012-02,6
2012-03,11
2012-04,15
2012-05,27
2012-06,11
2012-07,4
2012-08,4
2012-09,4
2012-10,3
2012-11,4
2012-12,2
2013-01,4
2013-02,6
2013-03,7
2013-04,11
2013-05,10
2013-06,7
2013-07,5
2013-08,6
2013-09,4
2013-10,4
2013-11,3
2013-12,2
2014-01,3
2014-02,6
2014-03,6
2014-04,7
2014-05,9
2014-06,6
2014-07,5
2014-08,5
2014-09,4
2014-10,4
2014-11,3
2014-12,3
2015-01,3
2015-02,7
2015-03,16
2015-04,24
2015-05,25
2015-06,14
2015-07,7
2015-08,6
2015-09,5
2015-10,4
2015-11,5
2015-12,9
2016-01,10
2016-02,36
2016-03,33
2016-04,24
2016-05,16
2016-06,11
2016-07,6
2016-08,5
2016-09,4
2016-10,4
2016-11,4
2016-12,3
2017-01,5
2017-02,8
2017-03,16
2017-04,23
2017-05,15
2017-06,9
2017-07,4
2017-08,5
2017-09,4
2017-10,3
2017-11,3
2017-12,2
2018-01,3
2018-02,6
2018-03,7
2018-04,7
2018-05,5
2018-06,3
2018-07,2
2018-08,3
2018-09,3
2018-10,3
2018-11,3
2018-12,2
2019-01,3
2019-02,6
2019-03,8
2019-04,10
2019-05,10
2019-06,7
2019-07,4
2019-08,4
2019-09,4
2019-10,3
2019-11,3
2019-12,2
