Category: All categories

Month,mosquito da dengue: (State of Rio Grande do Sul)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,21
2007-04,58
2007-05,73
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,12
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,38
2008-04,96
2008-05,34
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,13
2009-03,16
2009-04,11
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,18
2010-03,36
2010-04,15
2010-05,0
2010-06,0
2010-07,10
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,8
2011-02,12
2011-03,17
2011-04,19
2011-05,10
2011-06,5
2011-07,3
2011-08,0
2011-09,2
2011-10,5
2011-11,4
2011-12,2
2012-01,7
2012-02,6
2012-03,8
2012-04,7
2012-05,7
2012-06,4
2012-07,2
2012-08,4
2012-09,2
2012-10,4
2012-11,2
2012-12,3
2013-01,8
2013-02,13
2013-03,22
2013-04,20
2013-05,9
2013-06,4
2013-07,2
2013-08,3
2013-09,2
2013-10,3
2013-11,4
2013-12,5
2014-01,6
2014-02,4
2014-03,11
2014-04,11
2014-05,9
2014-06,4
2014-07,5
2014-08,3
2014-09,3
2014-10,4
2014-11,6
2014-12,5
2015-01,7
2015-02,13
2015-03,34
2015-04,43
2015-05,24
2015-06,11
2015-07,6
2015-08,6
2015-09,4
2015-10,6
2015-11,11
2015-12,35
2016-01,36
2016-02,84
2016-03,100
2016-04,65
2016-05,19
2016-06,9
2016-07,3
2016-08,5
2016-09,4
2016-10,5
2016-11,8
2016-12,7
2017-01,13
2017-02,14
2017-03,14
2017-04,9
2017-05,5
2017-06,6
2017-07,2
2017-08,4
2017-09,5
2017-10,7
2017-11,5
2017-12,5
2018-01,10
2018-02,11
2018-03,10
2018-04,12
2018-05,8
2018-06,4
2018-07,3
2018-08,3
2018-09,4
2018-10,5
2018-11,6
2018-12,6
2019-01,11
2019-02,14
2019-03,19
2019-04,20
2019-05,21
2019-06,16
2019-07,5
2019-08,4
2019-09,4
2019-10,6
2019-11,8
2019-12,6
