Category: All categories

Month,sintomas de dengue: (Ceará)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,28
2011-02,42
2011-03,53
2011-04,62
2011-05,34
2011-06,33
2011-07,32
2011-08,31
2011-09,19
2011-10,16
2011-11,0
2011-12,0
2012-01,0
2012-02,29
2012-03,43
2012-04,65
2012-05,100
2012-06,33
2012-07,22
2012-08,15
2012-09,16
2012-10,0
2012-11,13
2012-12,0
2013-01,0
2013-02,20
2013-03,25
2013-04,32
2013-05,28
2013-06,32
2013-07,27
2013-08,21
2013-09,14
2013-10,15
2013-11,16
2013-12,0
2014-01,10
2014-02,19
2014-03,19
2014-04,25
2014-05,28
2014-06,27
2014-07,14
2014-08,15
2014-09,10
2014-10,0
2014-11,10
2014-12,11
2015-01,12
2015-02,21
2015-03,57
2015-04,78
2015-05,73
2015-06,42
2015-07,26
2015-08,19
2015-09,15
2015-10,8
2015-11,9
2015-12,19
2016-01,18
2016-02,52
2016-03,38
2016-04,35
2016-05,27
2016-06,23
2016-07,13
2016-08,11
2016-09,10
2016-10,0
2016-11,0
2016-12,0
2017-01,13
2017-02,23
2017-03,38
2017-04,36
2017-05,26
2017-06,14
2017-07,14
2017-08,8
2017-09,0
2017-10,0
2017-11,8
2017-12,0
2018-01,14
2018-02,12
2018-03,12
2018-04,18
2018-05,8
2018-06,8
2018-07,8
2018-08,12
2018-09,0
2018-10,9
2018-11,0
2018-12,0
2019-01,0
2019-02,18
2019-03,31
2019-04,29
2019-05,29
2019-06,23
2019-07,21
2019-08,9
2019-09,0
2019-10,13
2019-11,11
2019-12,13
