Category: All categories

Month,sintomas dengue: (Ceará)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,100
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,39
2008-04,64
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,32
2009-04,28
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,22
2010-04,19
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,13
2011-02,28
2011-03,37
2011-04,39
2011-05,19
2011-06,10
2011-07,14
2011-08,12
2011-09,8
2011-10,6
2011-11,6
2011-12,8
2012-01,10
2012-02,13
2012-03,19
2012-04,35
2012-05,59
2012-06,17
2012-07,10
2012-08,6
2012-09,7
2012-10,7
2012-11,5
2012-12,3
2013-01,5
2013-02,10
2013-03,12
2013-04,21
2013-05,20
2013-06,17
2013-07,13
2013-08,12
2013-09,7
2013-10,7
2013-11,4
2013-12,3
2014-01,5
2014-02,9
2014-03,12
2014-04,14
2014-05,16
2014-06,14
2014-07,10
2014-08,8
2014-09,7
2014-10,6
2014-11,4
2014-12,5
2015-01,7
2015-02,13
2015-03,33
2015-04,53
2015-05,49
2015-06,26
2015-07,15
2015-08,9
2015-09,6
2015-10,4
2015-11,5
2015-12,11
2016-01,15
2016-02,42
2016-03,34
2016-04,30
2016-05,22
2016-06,17
2016-07,10
2016-08,6
2016-09,6
2016-10,3
2016-11,4
2016-12,4
2017-01,7
2017-02,13
2017-03,23
2017-04,31
2017-05,19
2017-06,11
2017-07,7
2017-08,5
2017-09,3
2017-10,3
2017-11,4
2017-12,4
2018-01,5
2018-02,10
2018-03,9
2018-04,10
2018-05,5
2018-06,4
2018-07,3
2018-08,4
2018-09,4
2018-10,3
2018-11,2
2018-12,3
2019-01,4
2019-02,9
2019-03,14
2019-04,19
2019-05,20
2019-06,12
2019-07,8
2019-08,7
2019-09,4
2019-10,3
2019-11,3
2019-12,4
