Category: All categories

Month,dengue: (State of Espírito Santo)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,40
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,19
2007-11,15
2007-12,0
2008-01,0
2008-02,0
2008-03,42
2008-04,100
2008-05,44
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,20
2008-12,15
2009-01,11
2009-02,12
2009-03,30
2009-04,31
2009-05,30
2009-06,15
2009-07,0
2009-08,12
2009-09,11
2009-10,0
2009-11,14
2009-12,0
2010-01,0
2010-02,21
2010-03,13
2010-04,19
2010-05,14
2010-06,0
2010-07,0
2010-08,10
2010-09,11
2010-10,0
2010-11,12
2010-12,0
2011-01,6
2011-02,11
2011-03,20
2011-04,25
2011-05,20
2011-06,14
2011-07,9
2011-08,9
2011-09,7
2011-10,8
2011-11,9
2011-12,7
2012-01,6
2012-02,5
2012-03,8
2012-04,10
2012-05,8
2012-06,9
2012-07,5
2012-08,5
2012-09,4
2012-10,6
2012-11,6
2012-12,6
2013-01,11
2013-02,17
2013-03,22
2013-04,29
2013-05,16
2013-06,10
2013-07,6
2013-08,5
2013-09,5
2013-10,5
2013-11,5
2013-12,5
2014-01,8
2014-02,7
2014-03,7
2014-04,7
2014-05,8
2014-06,7
2014-07,6
2014-08,6
2014-09,5
2014-10,5
2014-11,5
2014-12,3
2015-01,3
2015-02,5
2015-03,9
2015-04,12
2015-05,17
2015-06,13
2015-07,9
2015-08,7
2015-09,8
2015-10,8
2015-11,9
2015-12,26
2016-01,20
2016-02,52
2016-03,47
2016-04,33
2016-05,15
2016-06,9
2016-07,6
2016-08,6
2016-09,5
2016-10,4
2016-11,5
2016-12,7
2017-01,7
2017-02,6
2017-03,8
2017-04,7
2017-05,6
2017-06,5
2017-07,4
2017-08,4
2017-09,3
2017-10,4
2017-11,4
2017-12,4
2018-01,4
2018-02,5
2018-03,6
2018-04,8
2018-05,8
2018-06,7
2018-07,5
2018-08,4
2018-09,4
2018-10,5
2018-11,5
2018-12,6
2019-01,8
2019-02,11
2019-03,18
2019-04,23
2019-05,33
2019-06,36
2019-07,20
2019-08,9
2019-09,8
2019-10,6
2019-11,7
2019-12,7
