Category: All categories

Month,sintomas de dengue: (State of Espírito Santo)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,42
2011-04,60
2011-05,34
2011-06,0
2011-07,55
2011-08,33
2011-09,0
2011-10,26
2011-11,0
2011-12,32
2012-01,0
2012-02,0
2012-03,32
2012-04,0
2012-05,0
2012-06,38
2012-07,0
2012-08,0
2012-09,0
2012-10,37
2012-11,0
2012-12,0
2013-01,0
2013-02,55
2013-03,66
2013-04,61
2013-05,43
2013-06,27
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,20
2014-02,19
2014-03,0
2014-04,0
2014-05,40
2014-06,0
2014-07,26
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,23
2015-03,23
2015-04,28
2015-05,61
2015-06,49
2015-07,36
2015-08,19
2015-09,26
2015-10,28
2015-11,20
2015-12,47
2016-01,51
2016-02,100
2016-03,76
2016-04,51
2016-05,17
2016-06,18
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,14
2016-12,0
2017-01,22
2017-02,23
2017-03,19
2017-04,0
2017-05,19
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,14
2017-12,20
2018-01,15
2018-02,16
2018-03,13
2018-04,19
2018-05,12
2018-06,14
2018-07,26
2018-08,14
2018-09,0
2018-10,12
2018-11,0
2018-12,18
2019-01,21
2019-02,39
2019-03,52
2019-04,64
2019-05,77
2019-06,94
2019-07,49
2019-08,36
2019-09,29
2019-10,23
2019-11,19
2019-12,28
