Category: All categories

Month,sintomas dengue: (State of Espírito Santo)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,13
2011-02,18
2011-03,33
2011-04,60
2011-05,44
2011-06,28
2011-07,28
2011-08,18
2011-09,14
2011-10,15
2011-11,15
2011-12,21
2012-01,18
2012-02,18
2012-03,17
2012-04,17
2012-05,18
2012-06,24
2012-07,17
2012-08,13
2012-09,11
2012-10,16
2012-11,16
2012-12,17
2013-01,26
2013-02,56
2013-03,67
2013-04,73
2013-05,47
2013-06,28
2013-07,16
2013-08,9
2013-09,12
2013-10,14
2013-11,8
2013-12,12
2014-01,24
2014-02,20
2014-03,15
2014-04,18
2014-05,29
2014-06,17
2014-07,14
2014-08,13
2014-09,14
2014-10,10
2014-11,14
2014-12,11
2015-01,9
2015-02,18
2015-03,22
2015-04,38
2015-05,57
2015-06,37
2015-07,31
2015-08,18
2015-09,20
2015-10,19
2015-11,24
2015-12,55
2016-01,60
2016-02,100
2016-03,84
2016-04,70
2016-05,30
2016-06,11
2016-07,12
2016-08,14
2016-09,13
2016-10,9
2016-11,13
2016-12,17
2017-01,18
2017-02,15
2017-03,19
2017-04,16
2017-05,15
2017-06,11
2017-07,6
2017-08,7
2017-09,6
2017-10,10
2017-11,12
2017-12,14
2018-01,14
2018-02,12
2018-03,16
2018-04,22
2018-05,20
2018-06,18
2018-07,17
2018-08,9
2018-09,6
2018-10,8
2018-11,14
2018-12,17
2019-01,29
2019-02,34
2019-03,51
2019-04,68
2019-05,99
2019-06,100
2019-07,60
2019-08,32
2019-09,23
2019-10,18
2019-11,23
2019-12,26
