Category: All categories

Month,mosquito: (State of São Paulo)
2004-01,0
2004-02,14
2004-03,17
2004-04,19
2004-05,14
2004-06,11
2004-07,12
2004-08,11
2004-09,18
2004-10,11
2004-11,21
2004-12,10
2005-01,12
2005-02,14
2005-03,14
2005-04,7
2005-05,11
2005-06,14
2005-07,0
2005-08,13
2005-09,10
2005-10,11
2005-11,12
2005-12,11
2006-01,14
2006-02,14
2006-03,19
2006-04,15
2006-05,13
2006-06,18
2006-07,6
2006-08,9
2006-09,12
2006-10,11
2006-11,14
2006-12,13
2007-01,12
2007-02,11
2007-03,18
2007-04,27
2007-05,17
2007-06,14
2007-07,8
2007-08,9
2007-09,11
2007-10,14
2007-11,17
2007-12,11
2008-01,20
2008-02,14
2008-03,33
2008-04,65
2008-05,22
2008-06,13
2008-07,9
2008-08,9
2008-09,9
2008-10,11
2008-11,12
2008-12,11
2009-01,11
2009-02,16
2009-03,18
2009-04,14
2009-05,10
2009-06,8
2009-07,8
2009-08,8
2009-09,9
2009-10,9
2009-11,14
2009-12,10
2010-01,14
2010-02,21
2010-03,20
2010-04,19
2010-05,13
2010-06,9
2010-07,15
2010-08,9
2010-09,9
2010-10,9
2010-11,13
2010-12,11
2011-01,14
2011-02,14
2011-03,20
2011-04,19
2011-05,12
2011-06,8
2011-07,6
2011-08,7
2011-09,8
2011-10,9
2011-11,10
2011-12,11
2012-01,10
2012-02,12
2012-03,12
2012-04,11
2012-05,10
2012-06,8
2012-07,6
2012-08,7
2012-09,9
2012-10,9
2012-11,10
2012-12,9
2013-01,14
2013-02,17
2013-03,19
2013-04,24
2013-05,12
2013-06,9
2013-07,6
2013-08,7
2013-09,8
2013-10,9
2013-11,11
2013-12,10
2014-01,13
2014-02,13
2014-03,19
2014-04,32
2014-05,31
2014-06,13
2014-07,9
2014-08,10
2014-09,10
2014-10,14
2014-11,15
2014-12,15
2015-01,22
2015-02,38
2015-03,98
2015-04,70
2015-05,39
2015-06,19
2015-07,11
2015-08,12
2015-09,14
2015-10,15
2015-11,26
2015-12,56
2016-01,43
2016-02,100
2016-03,74
2016-04,42
2016-05,19
2016-06,12
2016-07,9
2016-08,9
2016-09,13
2016-10,14
2016-11,17
2016-12,18
2017-01,27
2017-02,26
2017-03,21
2017-04,15
2017-05,12
2017-06,12
2017-07,9
2017-08,11
2017-09,16
2017-10,17
2017-11,19
2017-12,19
2018-01,61
2018-02,29
2018-03,24
2018-04,18
2018-05,14
2018-06,11
2018-07,11
2018-08,11
2018-09,14
2018-10,16
2018-11,19
2018-12,21
2019-01,23
2019-02,24
2019-03,30
2019-04,27
2019-05,26
2019-06,17
2019-07,11
2019-08,12
2019-09,15
2019-10,17
2019-11,20
2019-12,21
