Category: All categories

Month,sintomas de dengue: (State of Goiás)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,100
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,13
2008-04,21
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,11
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,12
2010-01,10
2010-02,19
2010-03,19
2010-04,16
2010-05,16
2010-06,0
2010-07,11
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,8
2011-02,8
2011-03,11
2011-04,10
2011-05,8
2011-06,9
2011-07,9
2011-08,3
2011-09,7
2011-10,11
2011-11,17
2011-12,13
2012-01,7
2012-02,9
2012-03,9
2012-04,7
2012-05,7
2012-06,5
2012-07,4
2012-08,4
2012-09,5
2012-10,4
2012-11,5
2012-12,9
2013-01,11
2013-02,21
2013-03,20
2013-04,24
2013-05,19
2013-06,13
2013-07,4
2013-08,5
2013-09,4
2013-10,4
2013-11,6
2013-12,0
2014-01,9
2014-02,8
2014-03,17
2014-04,12
2014-05,15
2014-06,13
2014-07,5
2014-08,6
2014-09,5
2014-10,3
2014-11,6
2014-12,6
2015-01,10
2015-02,17
2015-03,29
2015-04,45
2015-05,34
2015-06,14
2015-07,8
2015-08,6
2015-09,6
2015-10,6
2015-11,6
2015-12,14
2016-01,20
2016-02,37
2016-03,31
2016-04,21
2016-05,13
2016-06,3
2016-07,5
2016-08,4
2016-09,4
2016-10,7
2016-11,4
2016-12,7
2017-01,7
2017-02,8
2017-03,13
2017-04,11
2017-05,10
2017-06,8
2017-07,7
2017-08,4
2017-09,6
2017-10,7
2017-11,6
2017-12,7
2018-01,11
2018-02,16
2018-03,22
2018-04,28
2018-05,16
2018-06,9
2018-07,7
2018-08,7
2018-09,6
2018-10,6
2018-11,8
2018-12,10
2019-01,15
2019-02,20
2019-03,30
2019-04,38
2019-05,37
2019-06,26
2019-07,11
2019-08,5
2019-09,7
2019-10,8
2019-11,8
2019-12,11
