Category: All categories

Month,tratamento para dengue: (State of São Paulo)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,23
2011-05,17
2011-06,0
2011-07,15
2011-08,0
2011-09,0
2011-10,10
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,12
2012-04,12
2012-05,10
2012-06,9
2012-07,0
2012-08,0
2012-09,9
2012-10,0
2012-11,7
2012-12,0
2013-01,0
2013-02,14
2013-03,17
2013-04,35
2013-05,14
2013-06,8
2013-07,0
2013-08,0
2013-09,8
2013-10,0
2013-11,6
2013-12,0
2014-01,5
2014-02,10
2014-03,18
2014-04,46
2014-05,34
2014-06,9
2014-07,0
2014-08,8
2014-09,0
2014-10,0
2014-11,6
2014-12,0
2015-01,12
2015-02,43
2015-03,100
2015-04,81
2015-05,43
2015-06,17
2015-07,8
2015-08,8
2015-09,5
2015-10,6
2015-11,6
2015-12,13
2016-01,18
2016-02,24
2016-03,28
2016-04,29
2016-05,11
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,6
2016-12,0
2017-01,0
2017-02,0
2017-03,5
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,6
2017-12,0
2018-01,5
2018-02,0
2018-03,5
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,6
2018-11,5
2018-12,6
2019-01,9
2019-02,20
2019-03,26
2019-04,32
2019-05,38
2019-06,14
2019-07,6
2019-08,6
2019-09,8
2019-10,5
2019-11,6
2019-12,5
