Category: All categories

Month,dengue: (State of Minas Gerais)
2004-01,0
2004-02,11
2004-03,11
2004-04,11
2004-05,9
2004-06,7
2004-07,0
2004-08,6
2004-09,0
2004-10,8
2004-11,8
2004-12,0
2005-01,6
2005-02,9
2005-03,12
2005-04,10
2005-05,5
2005-06,11
2005-07,5
2005-08,6
2005-09,5
2005-10,5
2005-11,15
2005-12,4
2006-01,8
2006-02,15
2006-03,16
2006-04,19
2006-05,14
2006-06,8
2006-07,4
2006-08,6
2006-09,5
2006-10,5
2006-11,9
2006-12,4
2007-01,6
2007-02,9
2007-03,18
2007-04,18
2007-05,13
2007-06,8
2007-07,5
2007-08,5
2007-09,6
2007-10,9
2007-11,11
2007-12,6
2008-01,6
2008-02,10
2008-03,31
2008-04,98
2008-05,34
2008-06,16
2008-07,5
2008-08,6
2008-09,5
2008-10,6
2008-11,10
2008-12,7
2009-01,7
2009-02,14
2009-03,25
2009-04,20
2009-05,15
2009-06,10
2009-07,5
2009-08,6
2009-09,6
2009-10,5
2009-11,8
2009-12,4
2010-01,7
2010-02,15
2010-03,29
2010-04,27
2010-05,18
2010-06,9
2010-07,5
2010-08,5
2010-09,5
2010-10,5
2010-11,8
2010-12,6
2011-01,6
2011-02,12
2011-03,18
2011-04,16
2011-05,10
2011-06,7
2011-07,4
2011-08,5
2011-09,5
2011-10,5
2011-11,7
2011-12,6
2012-01,6
2012-02,7
2012-03,9
2012-04,8
2012-05,8
2012-06,6
2012-07,4
2012-08,4
2012-09,4
2012-10,4
2012-11,5
2012-12,4
2013-01,11
2013-02,18
2013-03,42
2013-04,71
2013-05,19
2013-06,13
2013-07,6
2013-08,4
2013-09,4
2013-10,4
2013-11,5
2013-12,4
2014-01,4
2014-02,8
2014-03,10
2014-04,13
2014-05,11
2014-06,6
2014-07,4
2014-08,4
2014-09,4
2014-10,5
2014-11,6
2014-12,4
2015-01,4
2015-02,9
2015-03,23
2015-04,37
2015-05,34
2015-06,14
2015-07,6
2015-08,5
2015-09,5
2015-10,5
2015-11,8
2015-12,18
2016-01,29
2016-02,92
2016-03,100
2016-04,67
2016-05,26
2016-06,11
2016-07,5
2016-08,5
2016-09,5
2016-10,5
2016-11,6
2016-12,6
2017-01,8
2017-02,9
2017-03,10
2017-04,10
2017-05,7
2017-06,5
2017-07,3
2017-08,4
2017-09,4
2017-10,6
2017-11,6
2017-12,5
2018-01,6
2018-02,6
2018-03,8
2018-04,9
2018-05,6
2018-06,4
2018-07,3
2018-08,3
2018-09,3
2018-10,4
2018-11,5
2018-12,6
2019-01,11
2019-02,17
2019-03,36
2019-04,71
2019-05,72
2019-06,28
2019-07,8
2019-08,6
2019-09,6
2019-10,5
2019-11,6
2019-12,6
