Category: All categories

Month,mosquito: (State of Rio Grande do Norte)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,21
2008-04,100
2008-05,29
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,19
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,17
2010-05,0
2010-06,0
2010-07,23
2010-08,14
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,10
2011-02,7
2011-03,18
2011-04,20
2011-05,19
2011-06,11
2011-07,6
2011-08,7
2011-09,5
2011-10,7
2011-11,0
2011-12,4
2012-01,8
2012-02,0
2012-03,5
2012-04,8
2012-05,14
2012-06,7
2012-07,10
2012-08,7
2012-09,9
2012-10,6
2012-11,4
2012-12,5
2013-01,5
2013-02,7
2013-03,9
2013-04,9
2013-05,14
2013-06,11
2013-07,8
2013-08,9
2013-09,5
2013-10,6
2013-11,6
2013-12,4
2014-01,7
2014-02,8
2014-03,8
2014-04,10
2014-05,8
2014-06,8
2014-07,8
2014-08,5
2014-09,7
2014-10,6
2014-11,6
2014-12,4
2015-01,7
2015-02,11
2015-03,23
2015-04,22
2015-05,17
2015-06,12
2015-07,11
2015-08,7
2015-09,13
2015-10,28
2015-11,11
2015-12,23
2016-01,25
2016-02,71
2016-03,94
2016-04,56
2016-05,25
2016-06,16
2016-07,14
2016-08,10
2016-09,9
2016-10,7
2016-11,9
2016-12,4
2017-01,11
2017-02,12
2017-03,23
2017-04,19
2017-05,13
2017-06,12
2017-07,12
2017-08,16
2017-09,13
2017-10,13
2017-11,12
2017-12,10
2018-01,15
2018-02,12
2018-03,18
2018-04,18
2018-05,15
2018-06,24
2018-07,19
2018-08,13
2018-09,12
2018-10,8
2018-11,10
2018-12,11
2019-01,12
2019-02,11
2019-03,23
2019-04,24
2019-05,21
2019-06,17
2019-07,20
2019-08,17
2019-09,15
2019-10,11
2019-11,7
2019-12,6
