Category: All categories

Month,mosquito da dengue: (State of Minas Gerais)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,10
2007-01,0
2007-02,0
2007-03,9
2007-04,0
2007-05,9
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,7
2007-11,8
2007-12,0
2008-01,0
2008-02,7
2008-03,16
2008-04,85
2008-05,25
2008-06,8
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,9
2008-12,5
2009-01,8
2009-02,10
2009-03,22
2009-04,19
2009-05,11
2009-06,6
2009-07,5
2009-08,0
2009-09,5
2009-10,0
2009-11,0
2009-12,0
2010-01,7
2010-02,9
2010-03,26
2010-04,14
2010-05,14
2010-06,0
2010-07,4
2010-08,0
2010-09,0
2010-10,5
2010-11,5
2010-12,7
2011-01,6
2011-02,9
2011-03,17
2011-04,13
2011-05,8
2011-06,7
2011-07,3
2011-08,3
2011-09,3
2011-10,4
2011-11,6
2011-12,5
2012-01,5
2012-02,7
2012-03,9
2012-04,7
2012-05,6
2012-06,6
2012-07,3
2012-08,3
2012-09,4
2012-10,4
2012-11,5
2012-12,4
2013-01,9
2013-02,15
2013-03,30
2013-04,75
2013-05,16
2013-06,8
2013-07,4
2013-08,3
2013-09,3
2013-10,4
2013-11,5
2013-12,4
2014-01,5
2014-02,8
2014-03,10
2014-04,14
2014-05,11
2014-06,6
2014-07,4
2014-08,4
2014-09,5
2014-10,6
2014-11,9
2014-12,5
2015-01,6
2015-02,12
2015-03,29
2015-04,37
2015-05,25
2015-06,13
2015-07,5
2015-08,5
2015-09,5
2015-10,5
2015-11,11
2015-12,39
2016-01,31
2016-02,100
2016-03,97
2016-04,55
2016-05,18
2016-06,10
2016-07,4
2016-08,5
2016-09,4
2016-10,6
2016-11,8
2016-12,7
2017-01,10
2017-02,11
2017-03,12
2017-04,13
2017-05,7
2017-06,6
2017-07,2
2017-08,4
2017-09,5
2017-10,8
2017-11,7
2017-12,8
2018-01,8
2018-02,8
2018-03,11
2018-04,10
2018-05,5
2018-06,4
2018-07,2
2018-08,3
2018-09,3
2018-10,4
2018-11,8
2018-12,6
2019-01,7
2019-02,12
2019-03,25
2019-04,37
2019-05,35
2019-06,15
2019-07,5
2019-08,5
2019-09,5
2019-10,5
2019-11,8
2019-12,8
