Category: All categories

Month,mosquito da dengue: (State of Mato Grosso do Sul)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,100
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,15
2009-04,0
2009-05,0
2009-06,22
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,6
2011-03,8
2011-04,7
2011-05,3
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,2
2011-12,0
2012-01,0
2012-02,0
2012-03,4
2012-04,0
2012-05,3
2012-06,0
2012-07,0
2012-08,2
2012-09,2
2012-10,0
2012-11,3
2012-12,0
2013-01,8
2013-02,15
2013-03,9
2013-04,8
2013-05,3
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,2
2013-11,3
2013-12,0
2014-01,0
2014-02,2
2014-03,3
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,0
2014-09,2
2014-10,3
2014-11,3
2014-12,0
2015-01,0
2015-02,4
2015-03,6
2015-04,5
2015-05,5
2015-06,3
2015-07,2
2015-08,3
2015-09,2
2015-10,2
2015-11,4
2015-12,11
2016-01,10
2016-02,18
2016-03,21
2016-04,10
2016-05,5
2016-06,3
2016-07,0
2016-08,2
2016-09,2
2016-10,0
2016-11,2
2016-12,2
2017-01,2
2017-02,3
2017-03,4
2017-04,3
2017-05,3
2017-06,1
2017-07,0
2017-08,0
2017-09,0
2017-10,1
2017-11,3
2017-12,2
2018-01,0
2018-02,2
2018-03,3
2018-04,3
2018-05,0
2018-06,0
2018-07,0
2018-08,1
2018-09,0
2018-10,0
2018-11,3
2018-12,2
2019-01,0
2019-02,4
2019-03,11
2019-04,11
2019-05,6
2019-06,3
2019-07,2
2019-08,2
2019-09,2
2019-10,2
2019-11,2
2019-12,2
