Category: All categories

Month,dengue: (State of Mato Grosso)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,39
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,32
2006-12,0
2007-01,0
2007-02,39
2007-03,53
2007-04,50
2007-05,26
2007-06,23
2007-07,18
2007-08,19
2007-09,0
2007-10,19
2007-11,36
2007-12,30
2008-01,24
2008-02,26
2008-03,56
2008-04,84
2008-05,39
2008-06,16
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,27
2008-12,0
2009-01,17
2009-02,28
2009-03,55
2009-04,98
2009-05,76
2009-06,43
2009-07,13
2009-08,18
2009-09,27
2009-10,24
2009-11,65
2009-12,100
2010-01,71
2010-02,76
2010-03,58
2010-04,48
2010-05,28
2010-06,24
2010-07,12
2010-08,15
2010-09,29
2010-10,17
2010-11,42
2010-12,22
2011-01,24
2011-02,24
2011-03,35
2011-04,32
2011-05,20
2011-06,14
2011-07,12
2011-08,9
2011-09,12
2011-10,20
2011-11,26
2011-12,19
2012-01,18
2012-02,36
2012-03,57
2012-04,51
2012-05,38
2012-06,27
2012-07,18
2012-08,14
2012-09,14
2012-10,15
2012-11,18
2012-12,16
2013-01,32
2013-02,40
2013-03,35
2013-04,33
2013-05,23
2013-06,22
2013-07,13
2013-08,8
2013-09,7
2013-10,13
2013-11,17
2013-12,14
2014-01,12
2014-02,12
2014-03,16
2014-04,16
2014-05,14
2014-06,11
2014-07,9
2014-08,9
2014-09,11
2014-10,11
2014-11,15
2014-12,10
2015-01,9
2015-02,18
2015-03,31
2015-04,39
2015-05,39
2015-06,32
2015-07,16
2015-08,15
2015-09,13
2015-10,14
2015-11,23
2015-12,50
2016-01,55
2016-02,90
2016-03,61
2016-04,39
2016-05,21
2016-06,14
2016-07,8
2016-08,10
2016-09,10
2016-10,13
2016-11,18
2016-12,13
2017-01,18
2017-02,20
2017-03,21
2017-04,16
2017-05,13
2017-06,10
2017-07,6
2017-08,8
2017-09,8
2017-10,11
2017-11,13
2017-12,11
2018-01,13
2018-02,20
2018-03,22
2018-04,19
2018-05,15
2018-06,10
2018-07,8
2018-08,7
2018-09,7
2018-10,10
2018-11,14
2018-12,12
2019-01,10
2019-02,14
2019-03,23
2019-04,28
2019-05,32
2019-06,25
2019-07,12
2019-08,10
2019-09,9
2019-10,12
2019-11,16
2019-12,21
