Category: All categories

Month,mosquito: (State of Rio de Janeiro)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,17
2004-11,0
2004-12,17
2005-01,18
2005-02,0
2005-03,19
2005-04,0
2005-05,11
2005-06,9
2005-07,0
2005-08,13
2005-09,9
2005-10,0
2005-11,18
2005-12,11
2006-01,0
2006-02,12
2006-03,12
2006-04,17
2006-05,7
2006-06,11
2006-07,9
2006-08,9
2006-09,6
2006-10,8
2006-11,10
2006-12,11
2007-01,10
2007-02,11
2007-03,11
2007-04,12
2007-05,11
2007-06,8
2007-07,9
2007-08,7
2007-09,12
2007-10,18
2007-11,15
2007-12,11
2008-01,20
2008-02,24
2008-03,73
2008-04,96
2008-05,26
2008-06,18
2008-07,10
2008-08,13
2008-09,9
2008-10,11
2008-11,14
2008-12,11
2009-01,9
2009-02,22
2009-03,27
2009-04,14
2009-05,11
2009-06,9
2009-07,7
2009-08,11
2009-09,10
2009-10,9
2009-11,13
2009-12,8
2010-01,9
2010-02,13
2010-03,14
2010-04,14
2010-05,12
2010-06,9
2010-07,15
2010-08,10
2010-09,10
2010-10,10
2010-11,12
2010-12,12
2011-01,11
2011-02,14
2011-03,25
2011-04,32
2011-05,15
2011-06,12
2011-07,10
2011-08,9
2011-09,11
2011-10,14
2011-11,17
2011-12,15
2012-01,13
2012-02,11
2012-03,14
2012-04,17
2012-05,15
2012-06,13
2012-07,9
2012-08,9
2012-09,10
2012-10,9
2012-11,10
2012-12,10
2013-01,10
2013-02,15
2013-03,18
2013-04,22
2013-05,13
2013-06,11
2013-07,8
2013-08,9
2013-09,10
2013-10,11
2013-11,13
2013-12,11
2014-01,11
2014-02,9
2014-03,11
2014-04,15
2014-05,14
2014-06,14
2014-07,11
2014-08,11
2014-09,13
2014-10,13
2014-11,15
2014-12,13
2015-01,12
2015-02,18
2015-03,26
2015-04,30
2015-05,28
2015-06,20
2015-07,15
2015-08,16
2015-09,18
2015-10,18
2015-11,25
2015-12,60
2016-01,39
2016-02,100
2016-03,66
2016-04,49
2016-05,25
2016-06,19
2016-07,18
2016-08,15
2016-09,16
2016-10,17
2016-11,21
2016-12,20
2017-01,26
2017-02,34
2017-03,33
2017-04,25
2017-05,19
2017-06,18
2017-07,13
2017-08,15
2017-09,18
2017-10,19
2017-11,22
2017-12,25
2018-01,44
2018-02,35
2018-03,30
2018-04,19
2018-05,16
2018-06,16
2018-07,16
2018-08,15
2018-09,18
2018-10,18
2018-11,23
2018-12,21
2019-01,19
2019-02,36
2019-03,33
2019-04,34
2019-05,41
2019-06,30
2019-07,19
2019-08,16
2019-09,21
2019-10,21
2019-11,22
2019-12,24
