Category: All categories

Month,sintomas dengue: (State of Mato Grosso)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,100
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,37
2009-05,25
2009-06,0
2009-07,0
2009-08,20
2009-09,20
2009-10,0
2009-11,0
2009-12,36
2010-01,34
2010-02,36
2010-03,0
2010-04,18
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,10
2011-02,5
2011-03,11
2011-04,8
2011-05,0
2011-06,5
2011-07,7
2011-08,0
2011-09,0
2011-10,5
2011-11,8
2011-12,8
2012-01,7
2012-02,17
2012-03,30
2012-04,22
2012-05,15
2012-06,10
2012-07,7
2012-08,5
2012-09,6
2012-10,5
2012-11,4
2012-12,9
2013-01,18
2013-02,18
2013-03,14
2013-04,15
2013-05,10
2013-06,8
2013-07,5
2013-08,3
2013-09,3
2013-10,0
2013-11,5
2013-12,6
2014-01,7
2014-02,4
2014-03,7
2014-04,7
2014-05,6
2014-06,6
2014-07,4
2014-08,3
2014-09,4
2014-10,0
2014-11,3
2014-12,4
2015-01,3
2015-02,7
2015-03,14
2015-04,18
2015-05,17
2015-06,14
2015-07,5
2015-08,7
2015-09,5
2015-10,3
2015-11,10
2015-12,23
2016-01,21
2016-02,25
2016-03,12
2016-04,10
2016-05,4
2016-06,3
2016-07,0
2016-08,2
2016-09,2
2016-10,3
2016-11,4
2016-12,5
2017-01,8
2017-02,8
2017-03,7
2017-04,5
2017-05,5
2017-06,3
2017-07,3
2017-08,2
2017-09,3
2017-10,0
2017-11,3
2017-12,4
2018-01,7
2018-02,8
2018-03,7
2018-04,6
2018-05,6
2018-06,3
2018-07,3
2018-08,0
2018-09,2
2018-10,2
2018-11,5
2018-12,4
2019-01,3
2019-02,5
2019-03,8
2019-04,10
2019-05,16
2019-06,12
2019-07,7
2019-08,4
2019-09,3
2019-10,4
2019-11,6
2019-12,11
