Category: All categories

Month,mosquito: (State of Goiás)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,29
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,15
2006-03,0
2006-04,16
2006-05,0
2006-06,24
2006-07,0
2006-08,0
2006-09,0
2006-10,9
2006-11,11
2006-12,9
2007-01,10
2007-02,8
2007-03,8
2007-04,14
2007-05,11
2007-06,7
2007-07,9
2007-08,12
2007-09,6
2007-10,18
2007-11,14
2007-12,8
2008-01,15
2008-02,15
2008-03,22
2008-04,44
2008-05,24
2008-06,14
2008-07,8
2008-08,9
2008-09,5
2008-10,10
2008-11,16
2008-12,11
2009-01,14
2009-02,15
2009-03,15
2009-04,12
2009-05,8
2009-06,4
2009-07,6
2009-08,8
2009-09,9
2009-10,8
2009-11,11
2009-12,12
2010-01,13
2010-02,20
2010-03,27
2010-04,16
2010-05,13
2010-06,12
2010-07,17
2010-08,7
2010-09,11
2010-10,7
2010-11,18
2010-12,11
2011-01,11
2011-02,14
2011-03,17
2011-04,14
2011-05,10
2011-06,8
2011-07,7
2011-08,7
2011-09,9
2011-10,9
2011-11,13
2011-12,11
2012-01,10
2012-02,11
2012-03,11
2012-04,10
2012-05,9
2012-06,9
2012-07,6
2012-08,8
2012-09,8
2012-10,8
2012-11,10
2012-12,9
2013-01,14
2013-02,19
2013-03,19
2013-04,21
2013-05,13
2013-06,10
2013-07,6
2013-08,8
2013-09,9
2013-10,11
2013-11,13
2013-12,13
2014-01,11
2014-02,12
2014-03,15
2014-04,17
2014-05,14
2014-06,9
2014-07,7
2014-08,12
2014-09,8
2014-10,12
2014-11,18
2014-12,18
2015-01,14
2015-02,18
2015-03,31
2015-04,35
2015-05,30
2015-06,16
2015-07,11
2015-08,10
2015-09,11
2015-10,11
2015-11,22
2015-12,56
2016-01,45
2016-02,100
2016-03,85
2016-04,43
2016-05,26
2016-06,21
2016-07,11
2016-08,13
2016-09,13
2016-10,12
2016-11,20
2016-12,19
2017-01,19
2017-02,23
2017-03,20
2017-04,17
2017-05,14
2017-06,12
2017-07,7
2017-08,14
2017-09,11
2017-10,19
2017-11,20
2017-12,22
2018-01,20
2018-02,22
2018-03,25
2018-04,21
2018-05,14
2018-06,12
2018-07,9
2018-08,13
2018-09,13
2018-10,16
2018-11,26
2018-12,17
2019-01,17
2019-02,21
2019-03,28
2019-04,30
2019-05,29
2019-06,18
2019-07,14
2019-08,14
2019-09,15
2019-10,13
2019-11,19
2019-12,26
