Category: All categories

Month,sintomas de dengue: (State of Pernambuco)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,90
2008-05,0
2008-06,100
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,25
2011-02,19
2011-03,25
2011-04,37
2011-05,0
2011-06,21
2011-07,30
2011-08,21
2011-09,0
2011-10,22
2011-11,23
2011-12,25
2012-01,36
2012-02,17
2012-03,86
2012-04,48
2012-05,25
2012-06,32
2012-07,23
2012-08,18
2012-09,17
2012-10,11
2012-11,16
2012-12,0
2013-01,0
2013-02,11
2013-03,18
2013-04,30
2013-05,33
2013-06,28
2013-07,19
2013-08,13
2013-09,13
2013-10,11
2013-11,0
2013-12,0
2014-01,9
2014-02,0
2014-03,18
2014-04,14
2014-05,23
2014-06,17
2014-07,11
2014-08,15
2014-09,0
2014-10,12
2014-11,0
2014-12,15
2015-01,10
2015-02,34
2015-03,66
2015-04,81
2015-05,61
2015-06,37
2015-07,7
2015-08,10
2015-09,10
2015-10,9
2015-11,11
2015-12,38
2016-01,37
2016-02,91
2016-03,62
2016-04,30
2016-05,20
2016-06,11
2016-07,11
2016-08,0
2016-09,0
2016-10,8
2016-11,11
2016-12,0
2017-01,9
2017-02,0
2017-03,13
2017-04,15
2017-05,18
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,8
2017-12,0
2018-01,8
2018-02,10
2018-03,10
2018-04,17
2018-05,17
2018-06,11
2018-07,10
2018-08,10
2018-09,7
2018-10,7
2018-11,0
2018-12,13
2019-01,10
2019-02,15
2019-03,26
2019-04,37
2019-05,39
2019-06,36
2019-07,26
2019-08,22
2019-09,26
2019-10,22
2019-11,14
2019-12,12
