Category: All categories

Month,dengue: (Paraná)
2004-01,0
2004-02,0
2004-03,0
2004-04,11
2004-05,0
2004-06,0
2004-07,0
2004-08,8
2004-09,0
2004-10,0
2004-11,14
2004-12,13
2005-01,0
2005-02,11
2005-03,13
2005-04,15
2005-05,9
2005-06,8
2005-07,0
2005-08,7
2005-09,5
2005-10,11
2005-11,10
2005-12,0
2006-01,4
2006-02,9
2006-03,16
2006-04,16
2006-05,11
2006-06,8
2006-07,0
2006-08,5
2006-09,5
2006-10,3
2006-11,9
2006-12,4
2007-01,9
2007-02,14
2007-03,40
2007-04,37
2007-05,27
2007-06,12
2007-07,6
2007-08,10
2007-09,8
2007-10,14
2007-11,18
2007-12,12
2008-01,12
2008-02,10
2008-03,45
2008-04,100
2008-05,35
2008-06,17
2008-07,5
2008-08,6
2008-09,7
2008-10,8
2008-11,11
2008-12,7
2009-01,5
2009-02,10
2009-03,30
2009-04,18
2009-05,9
2009-06,6
2009-07,2
2009-08,3
2009-09,5
2009-10,5
2009-11,12
2009-12,7
2010-01,9
2010-02,16
2010-03,29
2010-04,40
2010-05,16
2010-06,10
2010-07,4
2010-08,5
2010-09,7
2010-10,5
2010-11,8
2010-12,4
2011-01,8
2011-02,26
2011-03,30
2011-04,21
2011-05,12
2011-06,8
2011-07,6
2011-08,6
2011-09,5
2011-10,6
2011-11,9
2011-12,7
2012-01,7
2012-02,9
2012-03,12
2012-04,10
2012-05,8
2012-06,7
2012-07,4
2012-08,5
2012-09,4
2012-10,4
2012-11,7
2012-12,4
2013-01,12
2013-02,24
2013-03,29
2013-04,31
2013-05,14
2013-06,8
2013-07,5
2013-08,5
2013-09,5
2013-10,6
2013-11,10
2013-12,4
2014-01,7
2014-02,7
2014-03,13
2014-04,19
2014-05,19
2014-06,8
2014-07,6
2014-08,6
2014-09,6
2014-10,6
2014-11,7
2014-12,5
2015-01,7
2015-02,13
2015-03,29
2015-04,39
2015-05,24
2015-06,14
2015-07,8
2015-08,9
2015-09,7
2015-10,8
2015-11,11
2015-12,30
2016-01,49
2016-02,90
2016-03,79
2016-04,54
2016-05,21
2016-06,12
2016-07,7
2016-08,15
2016-09,12
2016-10,7
2016-11,8
2016-12,7
2017-01,10
2017-02,11
2017-03,17
2017-04,10
2017-05,6
2017-06,5
2017-07,3
2017-08,4
2017-09,7
2017-10,8
2017-11,8
2017-12,6
2018-01,8
2018-02,7
2018-03,8
2018-04,9
2018-05,6
2018-06,4
2018-07,3
2018-08,4
2018-09,4
2018-10,4
2018-11,6
2018-12,5
2019-01,9
2019-02,13
2019-03,21
2019-04,25
2019-05,26
2019-06,16
2019-07,7
2019-08,6
2019-09,6
2019-10,7
2019-11,10
2019-12,13
