Category: All categories

Month,mosquito: (State of Sergipe)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,17
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,13
2011-10,11
2011-11,16
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,14
2012-05,13
2012-06,19
2012-07,16
2012-08,0
2012-09,16
2012-10,19
2012-11,11
2012-12,20
2013-01,11
2013-02,0
2013-03,18
2013-04,13
2013-05,28
2013-06,14
2013-07,20
2013-08,15
2013-09,9
2013-10,9
2013-11,10
2013-12,13
2014-01,11
2014-02,9
2014-03,9
2014-04,9
2014-05,16
2014-06,10
2014-07,11
2014-08,16
2014-09,16
2014-10,13
2014-11,16
2014-12,14
2015-01,0
2015-02,11
2015-03,27
2015-04,31
2015-05,32
2015-06,22
2015-07,16
2015-08,16
2015-09,18
2015-10,14
2015-11,28
2015-12,63
2016-01,37
2016-02,100
2016-03,94
2016-04,78
2016-05,43
2016-06,25
2016-07,23
2016-08,21
2016-09,15
2016-10,15
2016-11,18
2016-12,17
2017-01,14
2017-02,23
2017-03,20
2017-04,30
2017-05,22
2017-06,17
2017-07,15
2017-08,15
2017-09,16
2017-10,26
2017-11,20
2017-12,12
2018-01,24
2018-02,26
2018-03,15
2018-04,21
2018-05,18
2018-06,17
2018-07,17
2018-08,24
2018-09,19
2018-10,10
2018-11,19
2018-12,19
2019-01,15
2019-02,22
2019-03,23
2019-04,31
2019-05,38
2019-06,42
2019-07,49
2019-08,34
2019-09,31
2019-10,24
2019-11,22
2019-12,12
