Category: All categories

Month,sintomas dengue: (Paraná)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,17
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,12
2007-02,0
2007-03,34
2007-04,24
2007-05,28
2007-06,0
2007-07,0
2007-08,8
2007-09,0
2007-10,14
2007-11,10
2007-12,9
2008-01,22
2008-02,9
2008-03,46
2008-04,76
2008-05,15
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,8
2008-12,0
2009-01,0
2009-02,0
2009-03,20
2009-04,13
2009-05,6
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,5
2009-11,11
2009-12,10
2010-01,9
2010-02,23
2010-03,40
2010-04,41
2010-05,15
2010-06,8
2010-07,0
2010-08,6
2010-09,6
2010-10,7
2010-11,5
2010-12,6
2011-01,14
2011-02,34
2011-03,39
2011-04,26
2011-05,13
2011-06,10
2011-07,11
2011-08,8
2011-09,4
2011-10,6
2011-11,11
2011-12,11
2012-01,11
2012-02,10
2012-03,14
2012-04,13
2012-05,10
2012-06,9
2012-07,8
2012-08,5
2012-09,5
2012-10,4
2012-11,5
2012-12,6
2013-01,19
2013-02,31
2013-03,39
2013-04,48
2013-05,21
2013-06,13
2013-07,10
2013-08,7
2013-09,4
2013-10,4
2013-11,6
2013-12,5
2014-01,12
2014-02,9
2014-03,17
2014-04,30
2014-05,26
2014-06,12
2014-07,9
2014-08,8
2014-09,6
2014-10,6
2014-11,6
2014-12,6
2015-01,9
2015-02,17
2015-03,41
2015-04,61
2015-05,40
2015-06,20
2015-07,14
2015-08,12
2015-09,9
2015-10,8
2015-11,12
2015-12,37
2016-01,73
2016-02,100
2016-03,90
2016-04,67
2016-05,23
2016-06,12
2016-07,7
2016-08,8
2016-09,8
2016-10,7
2016-11,9
2016-12,10
2017-01,16
2017-02,16
2017-03,16
2017-04,10
2017-05,7
2017-06,5
2017-07,5
2017-08,4
2017-09,7
2017-10,7
2017-11,7
2017-12,8
2018-01,12
2018-02,10
2018-03,8
2018-04,11
2018-05,7
2018-06,4
2018-07,4
2018-08,2
2018-09,4
2018-10,5
2018-11,6
2018-12,6
2019-01,13
2019-02,17
2019-03,27
2019-04,40
2019-05,41
2019-06,24
2019-07,11
2019-08,9
2019-09,8
2019-10,9
2019-11,14
2019-12,21
