Category: All categories

Month,sintomas de dengue: (State of Rio de Janeiro)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,36
2008-02,0
2008-03,51
2008-04,100
2008-05,25
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,20
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,27
2010-04,27
2010-05,18
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,12
2011-02,25
2011-03,54
2011-04,76
2011-05,41
2011-06,27
2011-07,31
2011-08,27
2011-09,22
2011-10,20
2011-11,20
2011-12,21
2012-01,20
2012-02,22
2012-03,39
2012-04,53
2012-05,50
2012-06,42
2012-07,21
2012-08,21
2012-09,16
2012-10,10
2012-11,8
2012-12,8
2013-01,19
2013-02,37
2013-03,67
2013-04,65
2013-05,40
2013-06,31
2013-07,13
2013-08,8
2013-09,7
2013-10,6
2013-11,6
2013-12,6
2014-01,12
2014-02,9
2014-03,12
2014-04,15
2014-05,17
2014-06,14
2014-07,9
2014-08,9
2014-09,11
2014-10,10
2014-11,10
2014-12,9
2015-01,12
2015-02,20
2015-03,44
2015-04,55
2015-05,51
2015-06,31
2015-07,15
2015-08,10
2015-09,11
2015-10,10
2015-11,17
2015-12,38
2016-01,32
2016-02,61
2016-03,49
2016-04,52
2016-05,22
2016-06,12
2016-07,8
2016-08,6
2016-09,5
2016-10,6
2016-11,8
2016-12,11
2017-01,17
2017-02,18
2017-03,16
2017-04,10
2017-05,8
2017-06,9
2017-07,5
2017-08,5
2017-09,4
2017-10,7
2017-11,8
2017-12,9
2018-01,12
2018-02,13
2018-03,18
2018-04,14
2018-05,11
2018-06,8
2018-07,6
2018-08,7
2018-09,7
2018-10,7
2018-11,7
2018-12,11
2019-01,12
2019-02,15
2019-03,26
2019-04,41
2019-05,39
2019-06,30
2019-07,14
2019-08,7
2019-09,10
2019-10,10
2019-11,8
2019-12,12
