Category: All categories

Month,sintomas dengue: (State of Rio de Janeiro)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,20
2006-03,12
2006-04,13
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,9
2006-12,10
2007-01,9
2007-02,0
2007-03,18
2007-04,28
2007-05,20
2007-06,11
2007-07,0
2007-08,0
2007-09,0
2007-10,8
2007-11,13
2007-12,11
2008-01,24
2008-02,25
2008-03,87
2008-04,100
2008-05,27
2008-06,10
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,6
2008-12,7
2009-01,11
2009-02,17
2009-03,21
2009-04,14
2009-05,4
2009-06,7
2009-07,6
2009-08,5
2009-09,0
2009-10,5
2009-11,4
2009-12,8
2010-01,0
2010-02,10
2010-03,18
2010-04,19
2010-05,18
2010-06,14
2010-07,11
2010-08,8
2010-09,8
2010-10,6
2010-11,7
2010-12,10
2011-01,12
2011-02,21
2011-03,51
2011-04,73
2011-05,38
2011-06,20
2011-07,18
2011-08,14
2011-09,13
2011-10,13
2011-11,14
2011-12,14
2012-01,17
2012-02,18
2012-03,29
2012-04,40
2012-05,43
2012-06,28
2012-07,15
2012-08,11
2012-09,10
2012-10,6
2012-11,6
2012-12,8
2013-01,16
2013-02,31
2013-03,57
2013-04,61
2013-05,30
2013-06,20
2013-07,9
2013-08,6
2013-09,5
2013-10,5
2013-11,6
2013-12,6
2014-01,8
2014-02,7
2014-03,9
2014-04,13
2014-05,13
2014-06,9
2014-07,8
2014-08,8
2014-09,8
2014-10,7
2014-11,7
2014-12,7
2015-01,9
2015-02,17
2015-03,38
2015-04,54
2015-05,52
2015-06,25
2015-07,12
2015-08,11
2015-09,9
2015-10,8
2015-11,13
2015-12,33
2016-01,35
2016-02,63
2016-03,59
2016-04,52
2016-05,22
2016-06,10
2016-07,7
2016-08,5
2016-09,4
2016-10,5
2016-11,6
2016-12,7
2017-01,13
2017-02,13
2017-03,13
2017-04,10
2017-05,7
2017-06,6
2017-07,4
2017-08,4
2017-09,3
2017-10,5
2017-11,5
2017-12,6
2018-01,11
2018-02,11
2018-03,13
2018-04,11
2018-05,9
2018-06,7
2018-07,5
2018-08,4
2018-09,4
2018-10,4
2018-11,6
2018-12,8
2019-01,9
2019-02,14
2019-03,22
2019-04,37
2019-05,40
2019-06,26
2019-07,11
2019-08,7
2019-09,7
2019-10,6
2019-11,6
2019-12,8
