Category: All categories

Month,dengue: (State of Rio Grande do Norte)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,9
2006-04,8
2006-05,8
2006-06,0
2006-07,10
2006-08,0
2006-09,7
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,7
2007-03,14
2007-04,19
2007-05,13
2007-06,8
2007-07,3
2007-08,4
2007-09,5
2007-10,6
2007-11,7
2007-12,5
2008-01,5
2008-02,9
2008-03,22
2008-04,100
2008-05,46
2008-06,16
2008-07,5
2008-08,6
2008-09,4
2008-10,4
2008-11,6
2008-12,0
2009-01,6
2009-02,5
2009-03,14
2009-04,9
2009-05,9
2009-06,5
2009-07,0
2009-08,3
2009-09,4
2009-10,0
2009-11,4
2009-12,0
2010-01,3
2010-02,4
2010-03,10
2010-04,12
2010-05,6
2010-06,5
2010-07,4
2010-08,5
2010-09,7
2010-10,4
2010-11,5
2010-12,4
2011-01,6
2011-02,12
2011-03,22
2011-04,27
2011-05,15
2011-06,10
2011-07,8
2011-08,5
2011-09,4
2011-10,5
2011-11,5
2011-12,4
2012-01,4
2012-02,3
2012-03,8
2012-04,11
2012-05,15
2012-06,11
2012-07,9
2012-08,5
2012-09,4
2012-10,4
2012-11,4
2012-12,2
2013-01,3
2013-02,7
2013-03,6
2013-04,8
2013-05,10
2013-06,9
2013-07,7
2013-08,5
2013-09,4
2013-10,4
2013-11,3
2013-12,2
2014-01,2
2014-02,4
2014-03,5
2014-04,6
2014-05,7
2014-06,5
2014-07,5
2014-08,5
2014-09,5
2014-10,3
2014-11,4
2014-12,2
2015-01,3
2015-02,8
2015-03,17
2015-04,21
2015-05,14
2015-06,7
2015-07,4
2015-08,4
2015-09,3
2015-10,2
2015-11,3
2015-12,7
2016-01,9
2016-02,40
2016-03,56
2016-04,30
2016-05,14
2016-06,7
2016-07,5
2016-08,3
2016-09,3
2016-10,3
2016-11,3
2016-12,2
2017-01,3
2017-02,4
2017-03,9
2017-04,9
2017-05,6
2017-06,3
2017-07,3
2017-08,3
2017-09,2
2017-10,3
2017-11,3
2017-12,2
2018-01,2
2018-02,4
2018-03,7
2018-04,9
2018-05,10
2018-06,6
2018-07,7
2018-08,5
2018-09,3
2018-10,3
2018-11,4
2018-12,3
2019-01,2
2019-02,4
2019-03,9
2019-04,13
2019-05,16
2019-06,15
2019-07,14
2019-08,10
2019-09,6
2019-10,4
2019-11,3
2019-12,2
