Category: All categories

Month,dengue: (State of Rondônia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,81
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,50
2007-04,0
2007-05,0
2007-06,30
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,26
2007-12,22
2008-01,25
2008-02,28
2008-03,49
2008-04,100
2008-05,25
2008-06,18
2008-07,20
2008-08,0
2008-09,0
2008-10,19
2008-11,34
2008-12,0
2009-01,26
2009-02,25
2009-03,56
2009-04,30
2009-05,21
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,23
2009-12,43
2010-01,80
2010-02,34
2010-03,34
2010-04,19
2010-05,18
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,16
2010-12,13
2011-01,17
2011-02,22
2011-03,33
2011-04,18
2011-05,10
2011-06,9
2011-07,6
2011-08,6
2011-09,6
2011-10,9
2011-11,12
2011-12,8
2012-01,7
2012-02,13
2012-03,12
2012-04,10
2012-05,8
2012-06,9
2012-07,5
2012-08,6
2012-09,5
2012-10,7
2012-11,11
2012-12,14
2013-01,21
2013-02,26
2013-03,23
2013-04,21
2013-05,10
2013-06,9
2013-07,5
2013-08,6
2013-09,5
2013-10,7
2013-11,11
2013-12,9
2014-01,7
2014-02,9
2014-03,13
2014-04,11
2014-05,12
2014-06,7
2014-07,7
2014-08,6
2014-09,10
2014-10,12
2014-11,14
2014-12,9
2015-01,7
2015-02,9
2015-03,15
2015-04,19
2015-05,19
2015-06,12
2015-07,6
2015-08,7
2015-09,7
2015-10,7
2015-11,12
2015-12,16
2016-01,28
2016-02,78
2016-03,66
2016-04,44
2016-05,19
2016-06,13
2016-07,9
2016-08,6
2016-09,7
2016-10,7
2016-11,9
2016-12,13
2017-01,16
2017-02,15
2017-03,21
2017-04,20
2017-05,11
2017-06,7
2017-07,3
2017-08,6
2017-09,6
2017-10,8
2017-11,13
2017-12,8
2018-01,8
2018-02,9
2018-03,9
2018-04,10
2018-05,9
2018-06,6
2018-07,5
2018-08,6
2018-09,5
2018-10,5
2018-11,11
2018-12,9
2019-01,5
2019-02,10
2019-03,11
2019-04,12
2019-05,10
2019-06,10
2019-07,7
2019-08,7
2019-09,6
2019-10,6
2019-11,12
2019-12,12
