Category: All categories

Month,mosquito: (State of Minas Gerais)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,11
2006-03,0
2006-04,15
2006-05,10
2006-06,0
2006-07,6
2006-08,0
2006-09,6
2006-10,8
2006-11,9
2006-12,6
2007-01,8
2007-02,7
2007-03,6
2007-04,7
2007-05,10
2007-06,6
2007-07,5
2007-08,7
2007-09,8
2007-10,9
2007-11,10
2007-12,4
2008-01,11
2008-02,8
2008-03,17
2008-04,54
2008-05,20
2008-06,10
2008-07,7
2008-08,4
2008-09,5
2008-10,6
2008-11,9
2008-12,7
2009-01,9
2009-02,13
2009-03,18
2009-04,13
2009-05,8
2009-06,9
2009-07,6
2009-08,5
2009-09,7
2009-10,7
2009-11,6
2009-12,5
2010-01,5
2010-02,10
2010-03,20
2010-04,13
2010-05,12
2010-06,5
2010-07,11
2010-08,4
2010-09,7
2010-10,8
2010-11,8
2010-12,8
2011-01,9
2011-02,9
2011-03,14
2011-04,12
2011-05,8
2011-06,7
2011-07,5
2011-08,6
2011-09,7
2011-10,6
2011-11,7
2011-12,7
2012-01,8
2012-02,7
2012-03,8
2012-04,7
2012-05,7
2012-06,7
2012-07,5
2012-08,5
2012-09,7
2012-10,6
2012-11,8
2012-12,7
2013-01,8
2013-02,13
2013-03,21
2013-04,50
2013-05,12
2013-06,8
2013-07,6
2013-08,5
2013-09,6
2013-10,6
2013-11,7
2013-12,7
2014-01,7
2014-02,8
2014-03,9
2014-04,12
2014-05,10
2014-06,6
2014-07,6
2014-08,6
2014-09,7
2014-10,9
2014-11,11
2014-12,9
2015-01,9
2015-02,11
2015-03,22
2015-04,27
2015-05,20
2015-06,12
2015-07,7
2015-08,8
2015-09,9
2015-10,9
2015-11,15
2015-12,36
2016-01,31
2016-02,100
2016-03,84
2016-04,41
2016-05,17
2016-06,11
2016-07,7
2016-08,7
2016-09,10
2016-10,11
2016-11,12
2016-12,13
2017-01,18
2017-02,16
2017-03,15
2017-04,15
2017-05,11
2017-06,9
2017-07,6
2017-08,8
2017-09,10
2017-10,16
2017-11,15
2017-12,17
2018-01,20
2018-02,16
2018-03,17
2018-04,13
2018-05,9
2018-06,8
2018-07,6
2018-08,8
2018-09,9
2018-10,11
2018-11,15
2018-12,14
2019-01,13
2019-02,15
2019-03,24
2019-04,34
2019-05,29
2019-06,16
2019-07,8
2019-08,9
2019-09,13
2019-10,13
2019-11,15
2019-12,18
