Category: All categories

Month,sintomas de dengue: (State of Rio Grande do Sul)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,79
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,27
2011-02,23
2011-03,29
2011-04,42
2011-05,17
2011-06,18
2011-07,33
2011-08,0
2011-09,0
2011-10,13
2011-11,22
2011-12,19
2012-01,26
2012-02,22
2012-03,24
2012-04,14
2012-05,18
2012-06,20
2012-07,11
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,12
2013-02,23
2013-03,54
2013-04,53
2013-05,40
2013-06,27
2013-07,7
2013-08,0
2013-09,7
2013-10,0
2013-11,10
2013-12,9
2014-01,9
2014-02,0
2014-03,11
2014-04,16
2014-05,21
2014-06,10
2014-07,8
2014-08,9
2014-09,0
2014-10,0
2014-11,0
2014-12,9
2015-01,14
2015-02,24
2015-03,74
2015-04,100
2015-05,70
2015-06,45
2015-07,24
2015-08,13
2015-09,10
2015-10,10
2015-11,20
2015-12,35
2016-01,47
2016-02,76
2016-03,74
2016-04,68
2016-05,23
2016-06,10
2016-07,0
2016-08,8
2016-09,8
2016-10,12
2016-11,10
2016-12,17
2017-01,18
2017-02,24
2017-03,14
2017-04,21
2017-05,17
2017-06,8
2017-07,0
2017-08,6
2017-09,7
2017-10,11
2017-11,10
2017-12,8
2018-01,9
2018-02,11
2018-03,12
2018-04,18
2018-05,12
2018-06,8
2018-07,7
2018-08,6
2018-09,0
2018-10,6
2018-11,9
2018-12,8
2019-01,10
2019-02,17
2019-03,24
2019-04,39
2019-05,44
2019-06,32
2019-07,17
2019-08,13
2019-09,9
2019-10,10
2019-11,11
2019-12,13
