Category: All categories

Month,sintomas dengue: (State of Santa Catarina)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,30
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,36
2008-01,0
2008-02,20
2008-03,51
2008-04,100
2008-05,21
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,16
2009-04,14
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,13
2011-02,13
2011-03,19
2011-04,16
2011-05,9
2011-06,10
2011-07,14
2011-08,9
2011-09,3
2011-10,11
2011-11,11
2011-12,11
2012-01,11
2012-02,8
2012-03,12
2012-04,8
2012-05,13
2012-06,14
2012-07,6
2012-08,0
2012-09,0
2012-10,0
2012-11,3
2012-12,0
2013-01,11
2013-02,10
2013-03,17
2013-04,39
2013-05,22
2013-06,16
2013-07,9
2013-08,7
2013-09,3
2013-10,4
2013-11,4
2013-12,5
2014-01,7
2014-02,5
2014-03,9
2014-04,13
2014-05,14
2014-06,5
2014-07,7
2014-08,6
2014-09,3
2014-10,5
2014-11,5
2014-12,4
2015-01,16
2015-02,54
2015-03,62
2015-04,63
2015-05,45
2015-06,25
2015-07,13
2015-08,8
2015-09,9
2015-10,8
2015-11,14
2015-12,33
2016-01,54
2016-02,85
2016-03,91
2016-04,61
2016-05,19
2016-06,10
2016-07,7
2016-08,6
2016-09,4
2016-10,5
2016-11,8
2016-12,12
2017-01,18
2017-02,14
2017-03,15
2017-04,12
2017-05,9
2017-06,5
2017-07,5
2017-08,6
2017-09,5
2017-10,6
2017-11,6
2017-12,7
2018-01,14
2018-02,10
2018-03,10
2018-04,14
2018-05,8
2018-06,5
2018-07,4
2018-08,4
2018-09,4
2018-10,5
2018-11,5
2018-12,7
2019-01,13
2019-02,19
2019-03,28
2019-04,37
2019-05,34
2019-06,26
2019-07,11
2019-08,10
2019-09,9
2019-10,8
2019-11,10
2019-12,9
