Category: All categories

Month,dengue: (State of São Paulo)
2004-01,4
2004-02,7
2004-03,14
2004-04,12
2004-05,10
2004-06,8
2004-07,4
2004-08,6
2004-09,7
2004-10,7
2004-11,11
2004-12,3
2005-01,6
2005-02,5
2005-03,8
2005-04,8
2005-05,7
2005-06,7
2005-07,3
2005-08,8
2005-09,5
2005-10,6
2005-11,11
2005-12,4
2006-01,7
2006-02,10
2006-03,17
2006-04,20
2006-05,15
2006-06,8
2006-07,4
2006-08,6
2006-09,5
2006-10,6
2006-11,9
2006-12,5
2007-01,6
2007-02,11
2007-03,30
2007-04,42
2007-05,23
2007-06,12
2007-07,6
2007-08,6
2007-09,7
2007-10,11
2007-11,15
2007-12,7
2008-01,10
2008-02,10
2008-03,42
2008-04,80
2008-05,25
2008-06,12
2008-07,4
2008-08,5
2008-09,5
2008-10,7
2008-11,10
2008-12,4
2009-01,5
2009-02,9
2009-03,14
2009-04,11
2009-05,8
2009-06,5
2009-07,2
2009-08,3
2009-09,4
2009-10,4
2009-11,6
2009-12,4
2010-01,6
2010-02,16
2010-03,22
2010-04,21
2010-05,15
2010-06,7
2010-07,3
2010-08,4
2010-09,5
2010-10,4
2010-11,7
2010-12,5
2011-01,6
2011-02,10
2011-03,18
2011-04,19
2011-05,11
2011-06,7
2011-07,4
2011-08,4
2011-09,5
2011-10,5
2011-11,6
2011-12,4
2012-01,6
2012-02,6
2012-03,8
2012-04,7
2012-05,6
2012-06,5
2012-07,3
2012-08,4
2012-09,4
2012-10,4
2012-11,4
2012-12,3
2013-01,6
2013-02,12
2013-03,20
2013-04,29
2013-05,14
2013-06,7
2013-07,3
2013-08,4
2013-09,3
2013-10,4
2013-11,5
2013-12,3
2014-01,5
2014-02,7
2014-03,15
2014-04,39
2014-05,34
2014-06,12
2014-07,5
2014-08,5
2014-09,5
2014-10,5
2014-11,6
2014-12,5
2015-01,10
2015-02,39
2015-03,100
2015-04,92
2015-05,50
2015-06,17
2015-07,6
2015-08,6
2015-09,5
2015-10,6
2015-11,10
2015-12,21
2016-01,23
2016-02,54
2016-03,54
2016-04,35
2016-05,13
2016-06,6
2016-07,4
2016-08,4
2016-09,4
2016-10,5
2016-11,6
2016-12,5
2017-01,7
2017-02,9
2017-03,9
2017-04,5
2017-05,5
2017-06,4
2017-07,2
2017-08,3
2017-09,4
2017-10,5
2017-11,5
2017-12,5
2018-01,7
2018-02,7
2018-03,6
2018-04,5
2018-05,4
2018-06,3
2018-07,2
2018-08,2
2018-09,3
2018-10,3
2018-11,5
2018-12,4
2019-01,8
2019-02,20
2019-03,26
2019-04,33
2019-05,36
2019-06,19
2019-07,7
2019-08,5
2019-09,5
2019-10,5
2019-11,5
2019-12,5
