Category: All categories

Month,mosquito da dengue: (State of São Paulo)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,10
2005-12,0
2006-01,8
2006-02,8
2006-03,11
2006-04,10
2006-05,6
2006-06,11
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,6
2007-03,14
2007-04,23
2007-05,12
2007-06,7
2007-07,4
2007-08,3
2007-09,3
2007-10,7
2007-11,10
2007-12,5
2008-01,8
2008-02,7
2008-03,24
2008-04,66
2008-05,19
2008-06,7
2008-07,3
2008-08,2
2008-09,3
2008-10,5
2008-11,7
2008-12,5
2009-01,5
2009-02,7
2009-03,12
2009-04,8
2009-05,7
2009-06,4
2009-07,2
2009-08,0
2009-09,2
2009-10,3
2009-11,6
2009-12,4
2010-01,6
2010-02,15
2010-03,16
2010-04,15
2010-05,10
2010-06,6
2010-07,2
2010-08,3
2010-09,4
2010-10,3
2010-11,6
2010-12,4
2011-01,7
2011-02,9
2011-03,15
2011-04,15
2011-05,8
2011-06,5
2011-07,2
2011-08,3
2011-09,3
2011-10,4
2011-11,5
2011-12,4
2012-01,5
2012-02,5
2012-03,8
2012-04,7
2012-05,6
2012-06,4
2012-07,2
2012-08,3
2012-09,3
2012-10,3
2012-11,4
2012-12,4
2013-01,7
2013-02,11
2013-03,15
2013-04,21
2013-05,8
2013-06,5
2013-07,2
2013-08,3
2013-09,3
2013-10,3
2013-11,5
2013-12,3
2014-01,5
2014-02,7
2014-03,13
2014-04,34
2014-05,29
2014-06,9
2014-07,4
2014-08,5
2014-09,4
2014-10,6
2014-11,7
2014-12,6
2015-01,11
2015-02,39
2015-03,100
2015-04,69
2015-05,37
2015-06,12
2015-07,5
2015-08,5
2015-09,6
2015-10,6
2015-11,14
2015-12,33
2016-01,25
2016-02,60
2016-03,52
2016-04,30
2016-05,10
2016-06,7
2016-07,3
2016-08,3
2016-09,4
2016-10,4
2016-11,6
2016-12,5
2017-01,9
2017-02,10
2017-03,10
2017-04,6
2017-05,5
2017-06,3
2017-07,2
2017-08,2
2017-09,3
2017-10,5
2017-11,5
2017-12,4
2018-01,11
2018-02,8
2018-03,7
2018-04,6
2018-05,3
2018-06,2
2018-07,2
2018-08,2
2018-09,3
2018-10,3
2018-11,6
2018-12,4
2019-01,6
2019-02,13
2019-03,18
2019-04,16
2019-05,16
2019-06,8
2019-07,3
2019-08,4
2019-09,4
2019-10,4
2019-11,5
2019-12,5
