Category: All categories

Month,sintomas de dengue: (State of São Paulo)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,22
2007-05,15
2007-06,0
2007-07,0
2007-08,7
2007-09,0
2007-10,7
2007-11,0
2007-12,0
2008-01,11
2008-02,0
2008-03,21
2008-04,37
2008-05,10
2008-06,7
2008-07,0
2008-08,0
2008-09,0
2008-10,6
2008-11,0
2008-12,0
2009-01,5
2009-02,10
2009-03,12
2009-04,8
2009-05,5
2009-06,5
2009-07,0
2009-08,0
2009-09,4
2009-10,0
2009-11,0
2009-12,0
2010-01,7
2010-02,11
2010-03,19
2010-04,21
2010-05,15
2010-06,5
2010-07,0
2010-08,5
2010-09,4
2010-10,6
2010-11,7
2010-12,7
2011-01,9
2011-02,11
2011-03,20
2011-04,21
2011-05,15
2011-06,11
2011-07,14
2011-08,7
2011-09,6
2011-10,9
2011-11,9
2011-12,10
2012-01,12
2012-02,12
2012-03,13
2012-04,10
2012-05,10
2012-06,8
2012-07,6
2012-08,5
2012-09,5
2012-10,5
2012-11,5
2012-12,5
2013-01,11
2013-02,21
2013-03,24
2013-04,44
2013-05,25
2013-06,17
2013-07,8
2013-08,6
2013-09,5
2013-10,5
2013-11,5
2013-12,6
2014-01,8
2014-02,11
2014-03,18
2014-04,55
2014-05,49
2014-06,19
2014-07,10
2014-08,9
2014-09,8
2014-10,8
2014-11,8
2014-12,7
2015-01,14
2015-02,45
2015-03,100
2015-04,93
2015-05,54
2015-06,20
2015-07,9
2015-08,8
2015-09,7
2015-10,7
2015-11,10
2015-12,20
2016-01,22
2016-02,40
2016-03,43
2016-04,30
2016-05,11
2016-06,6
2016-07,4
2016-08,4
2016-09,4
2016-10,5
2016-11,6
2016-12,6
2017-01,10
2017-02,11
2017-03,9
2017-04,6
2017-05,4
2017-06,4
2017-07,3
2017-08,4
2017-09,6
2017-10,7
2017-11,7
2017-12,7
2018-01,10
2018-02,7
2018-03,7
2018-04,7
2018-05,5
2018-06,4
2018-07,4
2018-08,4
2018-09,4
2018-10,5
2018-11,6
2018-12,8
2019-01,12
2019-02,20
2019-03,32
2019-04,42
2019-05,45
2019-06,27
2019-07,11
2019-08,8
2019-09,8
2019-10,8
2019-11,8
2019-12,10
