Category: All categories

Month,sintomas dengue: (State of São Paulo)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,5
2005-07,7
2005-08,0
2005-09,0
2005-10,0
2005-11,4
2005-12,0
2006-01,7
2006-02,7
2006-03,8
2006-04,10
2006-05,7
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,3
2006-11,5
2006-12,0
2007-01,5
2007-02,9
2007-03,17
2007-04,25
2007-05,16
2007-06,6
2007-07,5
2007-08,3
2007-09,4
2007-10,8
2007-11,8
2007-12,7
2008-01,9
2008-02,9
2008-03,28
2008-04,45
2008-05,11
2008-06,5
2008-07,3
2008-08,3
2008-09,3
2008-10,3
2008-11,4
2008-12,4
2009-01,6
2009-02,9
2009-03,10
2009-04,8
2009-05,5
2009-06,3
2009-07,2
2009-08,2
2009-09,1
2009-10,2
2009-11,2
2009-12,3
2010-01,7
2010-02,14
2010-03,20
2010-04,20
2010-05,14
2010-06,6
2010-07,3
2010-08,3
2010-09,4
2010-10,3
2010-11,6
2010-12,5
2011-01,8
2011-02,10
2011-03,16
2011-04,19
2011-05,11
2011-06,6
2011-07,6
2011-08,4
2011-09,4
2011-10,5
2011-11,5
2011-12,6
2012-01,8
2012-02,7
2012-03,8
2012-04,6
2012-05,6
2012-06,5
2012-07,4
2012-08,3
2012-09,4
2012-10,3
2012-11,4
2012-12,3
2013-01,7
2013-02,15
2013-03,20
2013-04,34
2013-05,19
2013-06,11
2013-07,5
2013-08,4
2013-09,3
2013-10,3
2013-11,4
2013-12,4
2014-01,6
2014-02,8
2014-03,17
2014-04,51
2014-05,44
2014-06,16
2014-07,7
2014-08,6
2014-09,5
2014-10,6
2014-11,6
2014-12,5
2015-01,11
2015-02,38
2015-03,98
2015-04,100
2015-05,55
2015-06,18
2015-07,6
2015-08,6
2015-09,5
2015-10,5
2015-11,8
2015-12,16
2016-01,20
2016-02,42
2016-03,46
2016-04,32
2016-05,11
2016-06,5
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,5
2016-12,6
2017-01,8
2017-02,10
2017-03,8
2017-04,5
2017-05,4
2017-06,3
2017-07,2
2017-08,3
2017-09,4
2017-10,5
2017-11,5
2017-12,5
2018-01,8
2018-02,6
2018-03,5
2018-04,4
2018-05,3
2018-06,3
2018-07,2
2018-08,2
2018-09,2
2018-10,3
2018-11,4
2018-12,5
2019-01,8
2019-02,18
2019-03,26
2019-04,36
2019-05,40
2019-06,22
2019-07,9
2019-08,5
2019-09,5
2019-10,5
2019-11,5
2019-12,6
