Category: All categories

Month,dengue: (State of Tocantins)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,18
2011-02,40
2011-03,53
2011-04,38
2011-05,30
2011-06,11
2011-07,0
2011-08,8
2011-09,12
2011-10,17
2011-11,24
2011-12,15
2012-01,19
2012-02,32
2012-03,32
2012-04,19
2012-05,23
2012-06,13
2012-07,10
2012-08,9
2012-09,6
2012-10,7
2012-11,12
2012-12,10
2013-01,13
2013-02,25
2013-03,25
2013-04,21
2013-05,18
2013-06,12
2013-07,4
2013-08,7
2013-09,7
2013-10,11
2013-11,13
2013-12,5
2014-01,9
2014-02,11
2014-03,16
2014-04,15
2014-05,14
2014-06,7
2014-07,4
2014-08,5
2014-09,4
2014-10,8
2014-11,11
2014-12,9
2015-01,7
2015-02,17
2015-03,23
2015-04,25
2015-05,30
2015-06,16
2015-07,8
2015-08,7
2015-09,10
2015-10,9
2015-11,15
2015-12,30
2016-01,31
2016-02,100
2016-03,83
2016-04,49
2016-05,29
2016-06,17
2016-07,5
2016-08,10
2016-09,9
2016-10,11
2016-11,13
2016-12,14
2017-01,12
2017-02,25
2017-03,35
2017-04,30
2017-05,23
2017-06,12
2017-07,5
2017-08,6
2017-09,9
2017-10,15
2017-11,16
2017-12,6
2018-01,8
2018-02,16
2018-03,23
2018-04,21
2018-05,15
2018-06,7
2018-07,3
2018-08,8
2018-09,10
2018-10,6
2018-11,23
2018-12,28
2019-01,38
2019-02,59
2019-03,74
2019-04,56
2019-05,42
2019-06,20
2019-07,8
2019-08,10
2019-09,9
2019-10,10
2019-11,15
2019-12,14
