Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,24
jan. 2007,0
fev. 2007,0
mar. 2007,16
abr. 2007,0
mai. 2007,16
jun. 2007,18
jul. 2007,15
ago. 2007,18
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,20
fev. 2008,0
mar. 2008,37
abr. 2008,63
mai. 2008,21
jun. 2008,0
jul. 2008,19
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,14
dez. 2008,13
jan. 2009,0
fev. 2009,0
mar. 2009,18
abr. 2009,17
mai. 2009,12
jun. 2009,18
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,11
jan. 2010,14
fev. 2010,0
mar. 2010,13
abr. 2010,17
mai. 2010,18
jun. 2010,0
jul. 2010,15
ago. 2010,10
set. 2010,0
out. 2010,11
nov. 2010,0
dez. 2010,0
jan. 2011,16
fev. 2011,20
mar. 2011,27
abr. 2011,25
mai. 2011,18
jun. 2011,11
jul. 2011,7
ago. 2011,10
set. 2011,8
out. 2011,11
nov. 2011,10
dez. 2011,9
jan. 2012,9
fev. 2012,10
mar. 2012,14
abr. 2012,12
mai. 2012,17
jun. 2012,15
jul. 2012,9
ago. 2012,10
set. 2012,11
out. 2012,9
nov. 2012,8
dez. 2012,6
jan. 2013,12
fev. 2013,10
mar. 2013,10
abr. 2013,13
mai. 2013,13
jun. 2013,10
jul. 2013,7
ago. 2013,10
set. 2013,8
out. 2013,8
nov. 2013,8
dez. 2013,8
jan. 2014,8
fev. 2014,14
mar. 2014,10
abr. 2014,13
mai. 2014,15
jun. 2014,9
jul. 2014,10
ago. 2014,9
set. 2014,9
out. 2014,9
nov. 2014,10
dez. 2014,7
jan. 2015,9
fev. 2015,12
mar. 2015,20
abr. 2015,23
mai. 2015,22
jun. 2015,16
jul. 2015,13
ago. 2015,10
set. 2015,11
out. 2015,10
nov. 2015,13
dez. 2015,28
jan. 2016,28
fev. 2016,100
mar. 2016,81
abr. 2016,45
mai. 2016,25
jun. 2016,20
jul. 2016,13
ago. 2016,12
set. 2016,11
out. 2016,9
nov. 2016,12
dez. 2016,10
jan. 2017,16
fev. 2017,21
mar. 2017,29
abr. 2017,35
mai. 2017,32
jun. 2017,25
jul. 2017,12
ago. 2017,15
set. 2017,11
out. 2017,10
nov. 2017,10
dez. 2017,10
jan. 2018,15
fev. 2018,25
mar. 2018,21
abr. 2018,17
mai. 2018,14
jun. 2018,11
jul. 2018,9
ago. 2018,10
set. 2018,9
out. 2018,9
nov. 2018,10
dez. 2018,12
jan. 2019,14
fev. 2019,20
mar. 2019,21
abr. 2019,20
mai. 2019,18
jun. 2019,12
jul. 2019,10
ago. 2019,11
set. 2019,10
out. 2019,10
nov. 2019,9
dez. 2019,9
