Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,9
fev. 2011,22
mar. 2011,37
abr. 2011,45
mai. 2011,35
jun. 2011,18
jul. 2011,23
ago. 2011,18
set. 2011,17
out. 2011,13
nov. 2011,17
dez. 2011,14
jan. 2012,12
fev. 2012,15
mar. 2012,27
abr. 2012,39
mai. 2012,49
jun. 2012,28
jul. 2012,28
ago. 2012,17
set. 2012,18
out. 2012,15
nov. 2012,13
dez. 2012,9
jan. 2013,7
fev. 2013,10
mar. 2013,16
abr. 2013,25
mai. 2013,28
jun. 2013,21
jul. 2013,14
ago. 2013,15
set. 2013,9
out. 2013,10
nov. 2013,10
dez. 2013,9
jan. 2014,7
fev. 2014,10
mar. 2014,13
abr. 2014,16
mai. 2014,34
jun. 2014,24
jul. 2014,23
ago. 2014,22
set. 2014,16
out. 2014,14
nov. 2014,15
dez. 2014,7
jan. 2015,6
fev. 2015,13
mar. 2015,23
abr. 2015,34
mai. 2015,41
jun. 2015,43
jul. 2015,34
ago. 2015,20
set. 2015,14
out. 2015,14
nov. 2015,20
dez. 2015,36
jan. 2016,30
fev. 2016,82
mar. 2016,100
abr. 2016,90
mai. 2016,53
jun. 2016,29
jul. 2016,22
ago. 2016,15
set. 2016,10
out. 2016,10
nov. 2016,13
dez. 2016,9
jan. 2017,6
fev. 2017,13
mar. 2017,18
abr. 2017,32
mai. 2017,19
jun. 2017,11
jul. 2017,10
ago. 2017,9
set. 2017,7
out. 2017,11
nov. 2017,15
dez. 2017,6
jan. 2018,7
fev. 2018,8
mar. 2018,14
abr. 2018,18
mai. 2018,15
jun. 2018,10
jul. 2018,11
ago. 2018,9
set. 2018,7
out. 2018,7
nov. 2018,14
dez. 2018,8
jan. 2019,6
fev. 2019,12
mar. 2019,17
abr. 2019,24
mai. 2019,61
jun. 2019,54
jul. 2019,47
ago. 2019,47
set. 2019,30
out. 2019,16
nov. 2019,12
dez. 2019,8
