Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,44
fev. 2011,66
mar. 2011,42
abr. 2011,0
mai. 2011,0
jun. 2011,21
jul. 2011,14
ago. 2011,0
set. 2011,0
out. 2011,0
nov. 2011,0
dez. 2011,0
jan. 2012,0
fev. 2012,0
mar. 2012,16
abr. 2012,7
mai. 2012,0
jun. 2012,12
jul. 2012,0
ago. 2012,0
set. 2012,0
out. 2012,0
nov. 2012,0
dez. 2012,0
jan. 2013,34
fev. 2013,31
mar. 2013,27
abr. 2013,26
mai. 2013,0
jun. 2013,0
jul. 2013,0
ago. 2013,10
set. 2013,10
out. 2013,8
nov. 2013,18
dez. 2013,14
jan. 2014,12
fev. 2014,13
mar. 2014,15
abr. 2014,17
mai. 2014,18
jun. 2014,12
jul. 2014,17
ago. 2014,15
set. 2014,22
out. 2014,25
nov. 2014,21
dez. 2014,0
jan. 2015,21
fev. 2015,0
mar. 2015,30
abr. 2015,26
mai. 2015,21
jun. 2015,0
jul. 2015,10
ago. 2015,0
set. 2015,19
out. 2015,12
nov. 2015,11
dez. 2015,24
jan. 2016,33
fev. 2016,100
mar. 2016,78
abr. 2016,57
mai. 2016,31
jun. 2016,30
jul. 2016,16
ago. 2016,10
set. 2016,10
out. 2016,0
nov. 2016,13
dez. 2016,8
jan. 2017,15
fev. 2017,15
mar. 2017,28
abr. 2017,24
mai. 2017,15
jun. 2017,14
jul. 2017,0
ago. 2017,9
set. 2017,11
out. 2017,11
nov. 2017,10
dez. 2017,11
jan. 2018,26
fev. 2018,16
mar. 2018,18
abr. 2018,15
mai. 2018,16
jun. 2018,11
jul. 2018,12
ago. 2018,13
set. 2018,17
out. 2018,41
nov. 2018,50
dez. 2018,44
jan. 2019,54
fev. 2019,48
mar. 2019,44
abr. 2019,32
mai. 2019,22
jun. 2019,17
jul. 2019,9
ago. 2019,15
set. 2019,15
out. 2019,24
nov. 2019,44
dez. 2019,66
