Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,20
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,31
abr. 2008,64
mai. 2008,34
jun. 2008,25
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,16
jan. 2009,0
fev. 2009,0
mar. 2009,35
abr. 2009,0
mai. 2009,13
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,11
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,15
abr. 2010,0
mai. 2010,9
jun. 2010,11
jul. 2010,11
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,9
dez. 2010,10
jan. 2011,21
fev. 2011,100
mar. 2011,73
abr. 2011,33
mai. 2011,19
jun. 2011,9
jul. 2011,7
ago. 2011,4
set. 2011,7
out. 2011,7
nov. 2011,9
dez. 2011,5
jan. 2012,7
fev. 2012,11
mar. 2012,13
abr. 2012,9
mai. 2012,11
jun. 2012,9
jul. 2012,6
ago. 2012,5
set. 2012,4
out. 2012,6
nov. 2012,4
dez. 2012,5
jan. 2013,10
fev. 2013,19
mar. 2013,21
abr. 2013,18
mai. 2013,10
jun. 2013,7
jul. 2013,5
ago. 2013,3
set. 2013,6
out. 2013,8
nov. 2013,6
dez. 2013,5
jan. 2014,5
fev. 2014,8
mar. 2014,12
abr. 2014,12
mai. 2014,11
jun. 2014,8
jul. 2014,6
ago. 2014,6
set. 2014,4
out. 2014,6
nov. 2014,5
dez. 2014,5
jan. 2015,3
fev. 2015,7
mar. 2015,13
abr. 2015,12
mai. 2015,14
jun. 2015,8
jul. 2015,5
ago. 2015,6
set. 2015,6
out. 2015,4
nov. 2015,6
dez. 2015,13
jan. 2016,13
fev. 2016,54
mar. 2016,40
abr. 2016,24
mai. 2016,18
jun. 2016,11
jul. 2016,5
ago. 2016,5
set. 2016,5
out. 2016,5
nov. 2016,8
dez. 2016,6
jan. 2017,6
fev. 2017,11
mar. 2017,12
abr. 2017,10
mai. 2017,8
jun. 2017,5
jul. 2017,3
ago. 2017,5
set. 2017,4
out. 2017,5
nov. 2017,6
dez. 2017,3
jan. 2018,3
fev. 2018,6
mar. 2018,6
abr. 2018,7
mai. 2018,7
jun. 2018,5
jul. 2018,3
ago. 2018,4
set. 2018,4
out. 2018,3
nov. 2018,4
dez. 2018,5
jan. 2019,3
fev. 2019,7
mar. 2019,7
abr. 2019,6
mai. 2019,6
jun. 2019,5
jul. 2019,4
ago. 2019,4
set. 2019,4
out. 2019,5
nov. 2019,7
dez. 2019,5
