Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,59
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,7
jun. 2007,6
jul. 2007,7
ago. 2007,7
set. 2007,10
out. 2007,9
nov. 2007,11
dez. 2007,0
jan. 2008,17
fev. 2008,13
mar. 2008,28
abr. 2008,85
mai. 2008,33
jun. 2008,16
jul. 2008,8
ago. 2008,9
set. 2008,10
out. 2008,9
nov. 2008,11
dez. 2008,12
jan. 2009,9
fev. 2009,16
mar. 2009,36
abr. 2009,28
mai. 2009,16
jun. 2009,10
jul. 2009,7
ago. 2009,0
set. 2009,9
out. 2009,7
nov. 2009,9
dez. 2009,8
jan. 2010,9
fev. 2010,12
mar. 2010,16
abr. 2010,15
mai. 2010,15
jun. 2010,10
jul. 2010,11
ago. 2010,9
set. 2010,7
out. 2010,9
nov. 2010,9
dez. 2010,11
jan. 2011,6
fev. 2011,5
mar. 2011,11
abr. 2011,14
mai. 2011,12
jun. 2011,9
jul. 2011,7
ago. 2011,5
set. 2011,5
out. 2011,7
nov. 2011,8
dez. 2011,7
jan. 2012,5
fev. 2012,8
mar. 2012,10
abr. 2012,8
mai. 2012,10
jun. 2012,8
jul. 2012,9
ago. 2012,7
set. 2012,7
out. 2012,6
nov. 2012,7
dez. 2012,5
jan. 2013,6
fev. 2013,8
mar. 2013,9
abr. 2013,13
mai. 2013,14
jun. 2013,9
jul. 2013,7
ago. 2013,6
set. 2013,7
out. 2013,6
nov. 2013,7
dez. 2013,6
jan. 2014,6
fev. 2014,7
mar. 2014,7
abr. 2014,10
mai. 2014,10
jun. 2014,8
jul. 2014,8
ago. 2014,7
set. 2014,9
out. 2014,12
nov. 2014,10
dez. 2014,7
jan. 2015,8
fev. 2015,10
mar. 2015,14
abr. 2015,17
mai. 2015,27
jun. 2015,18
jul. 2015,27
ago. 2015,17
set. 2015,15
out. 2015,9
nov. 2015,13
dez. 2015,26
jan. 2016,25
fev. 2016,96
mar. 2016,100
abr. 2016,68
mai. 2016,33
jun. 2016,21
jul. 2016,15
ago. 2016,12
set. 2016,12
out. 2016,11
nov. 2016,13
dez. 2016,12
jan. 2017,12
fev. 2017,13
mar. 2017,13
abr. 2017,19
mai. 2017,16
jun. 2017,13
jul. 2017,12
ago. 2017,12
set. 2017,9
out. 2017,10
nov. 2017,11
dez. 2017,12
jan. 2018,16
fev. 2018,14
mar. 2018,13
abr. 2018,15
mai. 2018,13
jun. 2018,10
jul. 2018,11
ago. 2018,11
set. 2018,10
out. 2018,9
nov. 2018,13
dez. 2018,15
jan. 2019,12
fev. 2019,11
mar. 2019,15
abr. 2019,20
mai. 2019,22
jun. 2019,18
jul. 2019,17
ago. 2019,14
set. 2019,15
out. 2019,13
nov. 2019,11
dez. 2019,11
